treeModel rep method clockModel mse
D750_11_10 rep033 emd quartlnorm 3.48892
D750_11_10 rep033 emd trilnormcave 2.40312
D750_11_10 rep033 emd trilnorm 2.87248
D750_11_10 rep033 emd trilnormvex 3.45805
D750_11_10 rep034 emd quartlnorm 2.78586
D750_11_10 rep034 emd trilnormcave 1.30423
D750_11_10 rep034 emd trilnorm 4.31234
D750_11_10 rep034 emd trilnormvex 6.63116
D750_11_10 rep035 emd quartlnorm 5.33923
D750_11_10 rep035 emd trilnormcave 1.74203
D750_11_10 rep035 emd trilnorm 2.23107
D750_11_10 rep035 emd trilnormvex 2.43333
D750_11_10 rep036 emd quartlnorm 5.38849
D750_11_10 rep036 emd trilnormcave 1.39695
D750_11_10 rep036 emd trilnorm 4.57627
D750_11_10 rep036 emd trilnormvex 4.95799
D750_11_10 rep037 emd quartlnorm 6.38526
D750_11_10 rep037 emd trilnormcave 0.721118
D750_11_10 rep037 emd trilnorm 2.85103
D750_11_10 rep037 emd trilnormvex 3.35144
D750_11_10 rep038 emd quartlnorm 3.62831
D750_11_10 rep038 emd trilnormcave 1.80229
D750_11_10 rep038 emd trilnorm 2.53676
D750_11_10 rep038 emd trilnormvex 2.43067
D750_11_10 rep039 emd quartlnorm 4.37302
D750_11_10 rep039 emd trilnormcave 1.80365
D750_11_10 rep039 emd trilnorm 8.2533
D750_11_10 rep039 emd trilnormvex 4.89582
D750_11_10 rep040 emd quartlnorm 8.07973
D750_11_10 rep040 emd trilnormcave 1.78148
D750_11_10 rep040 emd trilnorm 2.84704
D750_11_10 rep040 emd trilnormvex 1.84874
D750_11_10 rep041 emd quartlnorm 3.87627
D750_11_10 rep041 emd trilnormcave 1.1213
D750_11_10 rep041 emd trilnorm 3.02193
D750_11_10 rep041 emd trilnormvex 2.80435
D750_11_10 rep042 emd quartlnorm 3.23597
D750_11_10 rep042 emd trilnormcave 0.92314
D750_11_10 rep042 emd trilnorm 2.92921
D750_11_10 rep042 emd trilnormvex 5.52378
D750_11_10 rep043 emd quartlnorm 2.56668
D750_11_10 rep043 emd trilnormcave 1.79377
D750_11_10 rep043 emd trilnorm 2.02744
D750_11_10 rep043 emd trilnormvex 2.3315
D750_11_10 rep044 emd quartlnorm 2.51177
D750_11_10 rep044 emd trilnormcave 2.14559
D750_11_10 rep044 emd trilnorm 2.08428
D750_11_10 rep044 emd trilnormvex 1.59512
D750_11_10 rep045 emd quartlnorm 3.39164
D750_11_10 rep045 emd trilnormcave 3.05407
D750_11_10 rep045 emd trilnorm 3.20458
D750_11_10 rep045 emd trilnormvex 2.12214
D750_11_10 rep046 emd quartlnorm 3.53826
D750_11_10 rep046 emd trilnormcave 2.46198
D750_11_10 rep046 emd trilnorm 2.08622
D750_11_10 rep046 emd trilnormvex 1.23826
D750_11_10 rep047 emd quartlnorm 3.34059
D750_11_10 rep047 emd trilnormcave 1.63625
D750_11_10 rep047 emd trilnorm 2.51663
D750_11_10 rep047 emd trilnormvex 2.43661
D750_11_10 rep048 emd quartlnorm 6.97265
D750_11_10 rep048 emd trilnormcave 2.31325
D750_11_10 rep048 emd trilnorm 2.9246
D750_11_10 rep048 emd trilnormvex 2.58978
D750_11_10 rep049 emd quartlnorm 3.44719
D750_11_10 rep049 emd trilnormcave 2.02819
D750_11_10 rep049 emd trilnorm 2.0337
D750_11_10 rep049 emd trilnormvex 3.77183
D750_11_10 rep050 emd quartlnorm 4.49747
D750_11_10 rep050 emd trilnormcave 4.89461
D750_11_10 rep050 emd trilnorm 2.34537
D750_11_10 rep050 emd trilnormvex 2.28653
D750_11_10 rep051 emd quartlnorm 3.68814
D750_11_10 rep051 emd trilnormcave 2.6854
D750_11_10 rep051 emd trilnorm 5.55489
D750_11_10 rep051 emd trilnormvex 3.83065
D750_11_10 rep052 emd quartlnorm 6.93311
D750_11_10 rep052 emd trilnormcave 1.43677
D750_11_10 rep052 emd trilnorm 4.8409
D750_11_10 rep052 emd trilnormvex 2.7459
D750_11_10 rep053 emd quartlnorm 4.14716
D750_11_10 rep053 emd trilnormcave 2.34429
D750_11_10 rep053 emd trilnorm 2.863
D750_11_10 rep053 emd trilnormvex 3.22477
D750_11_10 rep054 emd quartlnorm 2.04578
D750_11_10 rep054 emd trilnormcave 1.78564
D750_11_10 rep054 emd trilnorm 2.68743
D750_11_10 rep054 emd trilnormvex 3.07468
D750_11_10 rep055 emd quartlnorm 4.35986
D750_11_10 rep055 emd trilnormcave 8.54552
D750_11_10 rep055 emd trilnorm 3.30269
D750_11_10 rep055 emd trilnormvex 1.63985
D750_11_10 rep056 emd quartlnorm 1.79702
D750_11_10 rep056 emd trilnormcave 0.687816
D750_11_10 rep056 emd trilnorm 3.40096
D750_11_10 rep056 emd trilnormvex 1.80747
D750_11_10 rep057 emd quartlnorm 3.33316
D750_11_10 rep057 emd trilnormcave 0.730072
D750_11_10 rep057 emd trilnorm 2.53183
D750_11_10 rep057 emd trilnormvex 3.11243
D750_11_10 rep058 emd quartlnorm 2.57257
D750_11_10 rep058 emd trilnormcave 1.56216
D750_11_10 rep058 emd trilnorm 3.00875
D750_11_10 rep058 emd trilnormvex 1.30971
D750_11_10 rep059 emd quartlnorm 2.77015
D750_11_10 rep059 emd trilnormcave 1.8016
D750_11_10 rep059 emd trilnorm 2.10655
D750_11_10 rep059 emd trilnormvex 2.44635
D750_11_10 rep060 emd quartlnorm 3.75283
D750_11_10 rep060 emd trilnormcave 1.70698
D750_11_10 rep060 emd trilnorm 2.5195
D750_11_10 rep060 emd trilnormvex 1.79993
D750_11_10 rep061 emd quartlnorm 5.1114
D750_11_10 rep061 emd trilnormcave 0.992717
D750_11_10 rep061 emd trilnorm 1.47827
D750_11_10 rep061 emd trilnormvex 1.48762
D750_11_10 rep062 emd quartlnorm 15.2187
D750_11_10 rep062 emd trilnormcave 1.36384
D750_11_10 rep062 emd trilnorm 2.28533
D750_11_10 rep062 emd trilnormvex 1.60505
D750_11_10 rep063 emd quartlnorm 3.26528
D750_11_10 rep063 emd trilnormcave 1.17276
D750_11_10 rep063 emd trilnorm 1.90386
D750_11_10 rep063 emd trilnormvex 2.15143
D750_11_10 rep064 emd quartlnorm 2.71705
D750_11_10 rep064 emd trilnormcave 1.55183
D750_11_10 rep064 emd trilnorm 2.7684
D750_11_10 rep064 emd trilnormvex 1.62403
D750_11_10 rep065 emd quartlnorm 4.3628
D750_11_10 rep065 emd trilnormcave 0.685813
D750_11_10 rep065 emd trilnorm 3.27068
D750_11_10 rep065 emd trilnormvex 3.14455
D750_11_10 rep066 emd quartlnorm 3.11757
D750_11_10 rep066 emd trilnormcave 2.98956
D750_11_10 rep066 emd trilnorm 3.14036
D750_11_10 rep066 emd trilnormvex 4.43619
D750_11_10 rep067 emd quartlnorm 4.57082
D750_11_10 rep067 emd trilnormcave 1.50926
D750_11_10 rep067 emd trilnorm 1.65134
D750_11_10 rep067 emd trilnormvex 2.54053
D750_11_10 rep068 emd quartlnorm 2.10771
D750_11_10 rep068 emd trilnormcave 4.3317
D750_11_10 rep068 emd trilnorm 0.797193
D750_11_10 rep068 emd trilnormvex 1.35345
D750_11_10 rep069 emd quartlnorm 3.03144
D750_11_10 rep069 emd trilnormcave 2.05988
D750_11_10 rep069 emd trilnorm 2.35458
D750_11_10 rep069 emd trilnormvex 2.38257
D750_11_10 rep070 emd quartlnorm 6.33623
D750_11_10 rep070 emd trilnormcave 1.02427
D750_11_10 rep070 emd trilnorm 1.17853
D750_11_10 rep070 emd trilnormvex 2.61836
D750_11_10 rep071 emd quartlnorm 4.81874
D750_11_10 rep071 emd trilnormcave 1.46705
D750_11_10 rep071 emd trilnorm 1.42559
D750_11_10 rep071 emd trilnormvex 2.48477
D750_11_10 rep072 emd quartlnorm 4.30808
D750_11_10 rep072 emd trilnormcave 2.55221
D750_11_10 rep072 emd trilnorm 1.54588
D750_11_10 rep072 emd trilnormvex 3.28112
D750_11_10 rep073 emd quartlnorm 4.49654
D750_11_10 rep073 emd trilnormcave 1.22031
D750_11_10 rep073 emd trilnorm 3.0243
D750_11_10 rep073 emd trilnormvex 2.17288
D750_11_10 rep074 emd quartlnorm 3.76607
D750_11_10 rep074 emd trilnormcave 1.26263
D750_11_10 rep074 emd trilnorm 6.60233
D750_11_10 rep074 emd trilnormvex 3.00496
D750_11_10 rep075 emd quartlnorm 2.94792
D750_11_10 rep075 emd trilnormcave 3.57821
D750_11_10 rep075 emd trilnorm 2.26595
D750_11_10 rep075 emd trilnormvex 2.80601
D750_11_10 rep076 emd quartlnorm 3.21448
