treeModel rep method clockModel tmrca
D750_11_10 rep028 lsd trilnorm -0.6998390000000017
D750_11_10 rep028 lsd trilnormvex -5.071663
D750_11_10 rep029 lsd quartlnorm -2.594377
D750_11_10 rep029 lsd trilnormcave -1.5900479999999997
D750_11_10 rep029 lsd trilnorm -0.9887659999999999
D750_11_10 rep029 lsd trilnormvex 0.9114329999999995
D750_11_10 rep030 lsd quartlnorm -2.1627689999999995
D750_11_10 rep030 lsd trilnormcave -1.649198
D750_11_10 rep030 lsd trilnorm 0.2481824000000003
D750_11_10 rep030 lsd trilnormvex -4.955316999999999
D750_11_10 rep031 lsd quartlnorm -3.8308280000000003
D750_11_10 rep031 lsd trilnormcave -3.8887229999999997
D750_11_10 rep031 lsd trilnorm -3.048736999999999
D750_11_10 rep031 lsd trilnormvex -2.9799750000000005
D750_11_10 rep032 lsd quartlnorm -3.5300159999999994
D750_11_10 rep032 lsd trilnormcave -1.4377829999999996
D750_11_10 rep032 lsd trilnorm -4.296117000000001
D750_11_10 rep032 lsd trilnormvex -1.5348810000000002
D750_11_10 rep033 lsd quartlnorm 1.8192279999999996
D750_11_10 rep033 lsd trilnormcave 0.603121999999998
D750_11_10 rep033 lsd trilnorm -0.29466200000000087
D750_11_10 rep033 lsd trilnormvex -4.565535000000002
D750_11_10 rep034 lsd quartlnorm -1.3367469999999995
D750_11_10 rep034 lsd trilnormcave -1.1524559999999997
D750_11_10 rep034 lsd trilnorm 1.0842710000000002
D750_11_10 rep034 lsd trilnormvex 1.0704370000000003
D750_11_10 rep035 lsd quartlnorm -5.934495000000004
D750_11_10 rep035 lsd trilnormcave -0.41483700000000123
D750_11_10 rep035 lsd trilnorm -4.932257000000001
D750_11_10 rep035 lsd trilnormvex -0.726781000000003
D750_11_10 rep036 lsd quartlnorm -1.7295570000000007
D750_11_10 rep036 lsd trilnormcave 2.1653872499999998
D750_11_10 rep036 lsd trilnorm -1.7664769999999992
D750_11_10 rep036 lsd trilnormvex 0.7346650000000012
D750_11_10 rep037 lsd quartlnorm -12.762727
D750_11_10 rep037 lsd trilnormcave -0.11654600000000004
D750_11_10 rep037 lsd trilnorm -0.8581560000000015
D750_11_10 rep037 lsd trilnormvex -12.251535
D750_11_10 rep038 lsd quartlnorm -5.3845469999999995
D750_11_10 rep038 lsd trilnormcave -0.6253419999999995
D750_11_10 rep038 lsd trilnorm -0.1019000000000001
D750_11_10 rep038 lsd trilnormvex -1.6752969999999996
D750_11_10 rep039 lsd quartlnorm -18.045897
D750_11_10 rep039 lsd trilnormcave -0.011542000000002384
D750_11_10 rep039 lsd trilnorm -9.404157000000003
D750_11_10 rep039 lsd trilnormvex -8.47977
D750_11_10 rep040 lsd quartlnorm 0.09616299999999933
D750_11_10 rep040 lsd trilnormcave 0.3052289999999994
D750_11_10 rep040 lsd trilnorm 0.13927799999999735
D750_11_10 rep040 lsd trilnormvex -0.18810800000000139
D750_11_10 rep041 lsd quartlnorm -2.862007
D750_11_10 rep041 lsd trilnormcave -3.656926399999999
D750_11_10 rep041 lsd trilnorm 1.0334860000000008
D750_11_10 rep041 lsd trilnormvex -7.151697
D750_11_10 rep042 lsd quartlnorm -0.08037000000000194
D750_11_10 rep042 lsd trilnormcave 1.2059779999999982
D750_11_10 rep042 lsd trilnorm -7.539677000000001
D750_11_10 rep042 lsd trilnormvex -2.0127070000000016
D750_11_10 rep043 lsd quartlnorm -3.476032
D750_11_10 rep043 lsd trilnormcave -1.5936381000000013
D750_11_10 rep043 lsd trilnorm -0.017374999999999308
D750_11_10 rep043 lsd trilnormvex 4.380976
D750_11_10 rep044 lsd quartlnorm -3.7115769999999997
D750_11_10 rep044 lsd trilnormcave -4.345727
D750_11_10 rep044 lsd trilnorm -2.362367
D750_11_10 rep044 lsd trilnormvex -2.7521520000000006
D750_11_10 rep045 lsd quartlnorm -1.9239800000000027
D750_11_10 rep045 lsd trilnormcave -1.4074170000000017
D750_11_10 rep045 lsd trilnorm -0.025497000000003656
D750_11_10 rep045 lsd trilnormvex -7.2022970000000015
