treeModel clockModel method rep error
D750_11_10 unif MD-Cat rep015 0.9486102684266091
D750_11_10 lognorm wLogDate rep015 0.41722153266364953
D750_11_10 lognorm MD-Cat rep015 0.4595291417359296
D750_11_10 gamma wLogDate rep015 0.3895597662623923
D750_11_10 gamma MD-Cat rep015 0.4290813464302645
D750_11_10 exp wLogDate rep015 1.2504029412102846
D750_11_10 exp MD-Cat rep015 1.1384604770863798
D750_11_10 unif wLogDate rep016 1.0644587672800954
D750_11_10 unif MD-Cat rep016 0.9620998077826751
D750_11_10 lognorm wLogDate rep016 0.36134768281286994
D750_11_10 lognorm MD-Cat rep016 0.34333529355804965
D750_11_10 gamma wLogDate rep016 0.42236567928414664
D750_11_10 gamma MD-Cat rep016 0.551118932212291
D750_11_10 exp wLogDate rep016 1.4473596606722345
D750_11_10 exp MD-Cat rep016 1.3608105015340113
D750_11_10 unif wLogDate rep017 1.2656692852637572
D750_11_10 unif MD-Cat rep017 1.0501294952588665
D750_11_10 lognorm wLogDate rep017 0.7677584197988724
D750_11_10 lognorm MD-Cat rep017 0.4065528752373266
D750_11_10 gamma wLogDate rep017 0.7103423376132616
D750_11_10 gamma MD-Cat rep017 0.4231125583366754
D750_11_10 exp wLogDate rep017 2.2070104187667905
D750_11_10 exp MD-Cat rep017 1.7000412913993264
D750_11_10 unif wLogDate rep018 0.9986008690312096
D750_11_10 unif MD-Cat rep018 1.140307863236229
D750_11_10 lognorm wLogDate rep018 0.4004631404131977
D750_11_10 lognorm MD-Cat rep018 0.41339507663554953
D750_11_10 gamma wLogDate rep018 0.6229978673908738
D750_11_10 gamma MD-Cat rep018 0.44165910110074125
D750_11_10 exp wLogDate rep018 1.606052262374555
D750_11_10 exp MD-Cat rep018 1.6818311671147652
D750_11_10 unif wLogDate rep019 0.9754629370272363
D750_11_10 unif MD-Cat rep019 1.096235312361073
D750_11_10 lognorm wLogDate rep019 0.7409039018141308
D750_11_10 lognorm MD-Cat rep019 0.36115596044663323
D750_11_10 gamma wLogDate rep019 0.4461053264532168
D750_11_10 gamma MD-Cat rep019 0.5073746180451358
D750_11_10 exp wLogDate rep019 1.7690244736537775
D750_11_10 exp MD-Cat rep019 1.0176929586566934
D750_11_10 unif wLogDate rep020 1.0370924307834246
D750_11_10 unif MD-Cat rep020 1.222794343980606
D750_11_10 lognorm wLogDate rep020 0.36312455428433676
D750_11_10 lognorm MD-Cat rep020 0.3786817775465782
D750_11_10 gamma wLogDate rep020 0.3696155351726967
D750_11_10 gamma MD-Cat rep020 0.38984668099619935
D750_11_10 exp wLogDate rep020 1.4032223810854716
D750_11_10 exp MD-Cat rep020 1.4857666978304118
D750_11_10 unif wLogDate rep021 1.3096095978934537
D750_11_10 unif MD-Cat rep021 0.9329569056243562
D750_11_10 lognorm wLogDate rep021 0.33328880379280523
D750_11_10 lognorm MD-Cat rep021 0.3927457652431437
D750_11_10 gamma wLogDate rep021 0.42432413806855784
D750_11_10 gamma MD-Cat rep021 0.6079660832768814
D750_11_10 exp wLogDate rep021 1.7575135668097401
D750_11_10 exp MD-Cat rep021 1.5936498505575214
D750_11_10 unif wLogDate rep022 0.7908747027615886
D750_11_10 unif MD-Cat rep022 0.8666939614687257
D750_11_10 lognorm wLogDate rep022 0.3586278553549351
D750_11_10 lognorm MD-Cat rep022 0.3735758749902321
D750_11_10 gamma wLogDate rep022 0.4197894387434383
D750_11_10 gamma MD-Cat rep022 0.3984591531518184
D750_11_10 exp wLogDate rep022 1.3997295318960998
D750_11_10 exp MD-Cat rep022 1.176066446763223
D750_11_10 unif wLogDate rep023 0.9620242795945715
D750_11_10 unif MD-Cat rep023 0.9475707931888276
D750_11_10 lognorm wLogDate rep023 0.5713180069233446
D750_11_10 lognorm MD-Cat rep023 0.3525885976915579
D750_11_10 gamma wLogDate rep023 0.36783350272604637
D750_11_10 gamma MD-Cat rep023 0.4416357298973874
D750_11_10 exp wLogDate rep023 1.5748027545457284
D750_11_10 exp MD-Cat rep023 1.3777451845804234
D750_11_10 unif wLogDate rep024 0.8412692754849387
D750_11_10 unif MD-Cat rep024 0.9633308257385725
D750_11_10 lognorm wLogDate rep024 0.3359940162040573
D750_11_10 lognorm MD-Cat rep024 0.361281993157179
D750_11_10 gamma wLogDate rep024 0.4462007319065209
D750_11_10 gamma MD-Cat rep024 0.5447937212526314
D750_11_10 exp wLogDate rep024 1.508619345231225
D750_11_10 exp MD-Cat rep024 1.3516322187289909
D750_11_10 unif wLogDate rep025 1.1151748911923225
D750_11_10 unif MD-Cat rep025 1.149023185394177
D750_11_10 lognorm wLogDate rep025 0.3532565983968064
D750_11_10 lognorm MD-Cat rep025 0.3920219460314392
D750_11_10 gamma wLogDate rep025 0.43104416062181455
D750_11_10 gamma MD-Cat rep025 0.510030980259484
D750_11_10 exp wLogDate rep025 1.4793445752244059
D750_11_10 exp MD-Cat rep025 1.4549096300622353
D750_11_10 unif wLogDate rep026 0.9629670032348094
D750_11_10 unif MD-Cat rep026 0.9031130697673736
D750_11_10 lognorm wLogDate rep026 0.4005675750114752
D750_11_10 lognorm MD-Cat rep026 0.46201253463426556
D750_11_10 gamma wLogDate rep026 0.37757307907037796
D750_11_10 gamma MD-Cat rep026 0.5033134608345866
D750_11_10 exp wLogDate rep026 1.2403201766598295
D750_11_10 exp MD-Cat rep026 1.3994633889775752
D750_11_10 unif wLogDate rep027 1.41246394956906
D750_11_10 unif MD-Cat rep027 1.193502997044901
D750_11_10 lognorm wLogDate rep027 0.3344644189056286
D750_11_10 lognorm MD-Cat rep027 0.3852352380019889
D750_11_10 gamma wLogDate rep027 0.7914722891963931
D750_11_10 gamma MD-Cat rep027 0.4450753923422237
D750_11_10 exp wLogDate rep027 1.228279664695288
D750_11_10 exp MD-Cat rep027 1.325480982103874
D750_11_10 unif wLogDate rep028 1.010569051045739
D750_11_10 unif MD-Cat rep028 1.1359000554217527
D750_11_10 lognorm wLogDate rep028 0.34037739119980825
D750_11_10 lognorm MD-Cat rep028 0.35291382947603006
D750_11_10 gamma wLogDate rep028 0.3695079823795014
D750_11_10 gamma MD-Cat rep028 0.4180973479368339
D750_11_10 exp wLogDate rep028 1.693135937527651
D750_11_10 exp MD-Cat rep028 1.6088359759458266
D750_11_10 unif wLogDate rep029 1.2435314170763203
D750_11_10 unif MD-Cat rep029 1.0949881941899797
D750_11_10 lognorm wLogDate rep029 0.33010098497245566
D750_11_10 lognorm MD-Cat rep029 0.38653254002119036
D750_11_10 gamma wLogDate rep029 0.45298540287012806
D750_11_10 gamma MD-Cat rep029 0.4322699094120718
D750_11_10 exp wLogDate rep029 1.8289645720060805
D750_11_10 exp MD-Cat rep029 1.4017847323421064
D750_11_10 unif wLogDate rep030 0.8127967317291905
D750_11_10 unif MD-Cat rep030 1.0582335897582695
D750_11_10 lognorm wLogDate rep030 0.33224857248081396
D750_11_10 lognorm MD-Cat rep030 0.40865992449684957
D750_11_10 gamma wLogDate rep030 0.36485067547249533
D750_11_10 gamma MD-Cat rep030 0.3812449418076573
D750_11_10 exp wLogDate rep030 1.5198640931286105
D750_11_10 exp MD-Cat rep030 1.163513136325052
D750_11_10 unif wLogDate rep031 1.1112931147689784
D750_11_10 unif MD-Cat rep031 1.29654218489486
D750_11_10 lognorm wLogDate rep031 0.3456671530578477
D750_11_10 lognorm MD-Cat rep031 0.4115396358821524
D750_11_10 gamma wLogDate rep031 0.3818144341732561
D750_11_10 gamma MD-Cat rep031 0.4210519434350779
D750_11_10 exp wLogDate rep031 1.6916953374781545
D750_11_10 exp MD-Cat rep031 1.2573935285785303
D750_11_10 unif wLogDate rep032 1.168264787784623
D750_11_10 unif MD-Cat rep032 1.0299062510177956
D750_11_10 lognorm wLogDate rep032 0.3424313564111998
D750_11_10 lognorm MD-Cat rep032 0.34300136010869764
D750_11_10 gamma wLogDate rep032 0.394437778195511
D750_11_10 gamma MD-Cat rep032 0.3912286410199949
D750_11_10 exp wLogDate rep032 1.8027197831817954
D750_11_10 exp MD-Cat rep032 1.3730735874978346
D750_11_10 unif wLogDate rep033 1.2693095449876937
D750_11_10 unif MD-Cat rep033 1.018991257169714
D750_11_10 lognorm wLogDate rep033 0.3473681711193302
D750_11_10 lognorm MD-Cat rep033 0.35647161745433786
D750_11_10 gamma wLogDate rep033 0.45109348391313797
D750_11_10 gamma MD-Cat rep033 0.5073217559518599
D750_11_10 exp wLogDate rep033 1.475807380418743
D750_11_10 exp MD-Cat rep033 1.4361745890186064
D750_11_10 unif wLogDate rep034 1.19655225962804
D750_11_10 unif MD-Cat rep034 1.2311544120284303
D750_11_10 lognorm wLogDate rep034 0.35275726642745947
D750_11_10 lognorm MD-Cat rep034 0.40010297373639253
D750_11_10 gamma wLogDate rep034 0.6080996706973503
D750_11_10 gamma MD-Cat rep034 0.4712312193759503
D750_11_10 exp wLogDate rep034 1.551738204201496
D750_11_10 exp MD-Cat rep034 1.2350220904935012
D750_11_10 unif wLogDate rep035 0.8621239533309023
D750_11_10 unif MD-Cat rep035 0.9146974401165908
D750_11_10 lognorm wLogDate rep035 0.3443018940551636
D750_11_10 lognorm MD-Cat rep035 0.3318047427024343
D750_11_10 gamma wLogDate rep035 0.41178018191521254
D750_11_10 gamma MD-Cat rep035 0.5274666429857469
D750_11_10 exp wLogDate rep035 1.4533129448394118
D750_11_10 exp MD-Cat rep035 1.4859149053394274
D750_11_10 unif wLogDate rep036 1.0632515252863866
D750_11_10 unif MD-Cat rep036 1.0516953821869608
D750_11_10 lognorm wLogDate rep036 0.3230994999760849
D750_11_10 lognorm MD-Cat rep036 0.3434508557220605
D750_11_10 gamma wLogDate rep036 0.537343845570801
D750_11_10 gamma MD-Cat rep036 0.49770998301323965
D750_11_10 exp wLogDate rep036 1.215375979053372
D750_11_10 exp MD-Cat rep036 1.2508786312812277
D750_11_10 unif wLogDate rep037 1.2681541672756236
D750_11_10 unif MD-Cat rep037 1.363281074625335
D750_11_10 lognorm wLogDate rep037 0.35486174949407795
D750_11_10 lognorm MD-Cat rep037 0.4207076881584771
D750_11_10 gamma wLogDate rep037 0.3739707709130529
D750_11_10 gamma MD-Cat rep037 0.41751009618239693
D750_11_10 exp wLogDate rep037 1.5444301303185424
D750_11_10 exp MD-Cat rep037 1.5441044981594034
D750_11_10 unif wLogDate rep038 0.9802863832048436
D750_11_10 unif MD-Cat rep038 0.9840282805088427
D750_11_10 lognorm wLogDate rep038 0.39110946604580105
D750_11_10 lognorm MD-Cat rep038 0.4372021709568319
D750_11_10 gamma wLogDate rep038 0.5892735938232626
D750_11_10 gamma MD-Cat rep038 0.38333382733987303
D750_11_10 exp wLogDate rep038 1.6166574618098384
D750_11_10 exp MD-Cat rep038 1.5290806427406682
D750_11_10 unif wLogDate rep039 1.204644928134136
D750_11_10 unif MD-Cat rep039 1.5465981951675887
D750_11_10 lognorm wLogDate rep039 0.32875502975666737
D750_11_10 lognorm MD-Cat rep039 0.3979978554136063
D750_11_10 gamma wLogDate rep039 0.4054637511462333
D750_11_10 gamma MD-Cat rep039 0.4832482371063559
D750_11_10 exp wLogDate rep039 1.628503045827735
D750_11_10 exp MD-Cat rep039 1.4210153251288244
D750_11_10 unif wLogDate rep040 0.98280327167441
D750_11_10 unif MD-Cat rep040 0.8381228589500702
D750_11_10 lognorm wLogDate rep040 0.3630451428154584
D750_11_10 lognorm MD-Cat rep040 0.3416707597891754
D750_11_10 gamma wLogDate rep040 0.3860281301576907
D750_11_10 gamma MD-Cat rep040 0.43839966294569355
D750_11_10 exp wLogDate rep040 1.7168895759971718
D750_11_10 exp MD-Cat rep040 1.1810180299441582
D750_11_10 unif wLogDate rep041 1.0720661087112762
D750_11_10 unif MD-Cat rep041 1.2424137606844345
D750_11_10 lognorm wLogDate rep041 0.8076411104608455
D750_11_10 lognorm MD-Cat rep041 0.4105837370256548
D750_11_10 gamma wLogDate rep041 0.446139375076091
D750_11_10 gamma MD-Cat rep041 0.48282990926645036
D750_11_10 exp wLogDate rep041 1.864609726478369
D750_11_10 exp MD-Cat rep041 1.352090766924845
D750_11_10 unif wLogDate rep042 1.3038995359237007
D750_11_10 unif MD-Cat rep042 1.1356122571767373
D750_11_10 lognorm wLogDate rep042 0.5384341013351991
D750_11_10 lognorm MD-Cat rep042 0.3448852799647236
D750_11_10 gamma wLogDate rep042 0.5733728665597556
D750_11_10 gamma MD-Cat rep042 0.4739118711887475
D750_11_10 exp wLogDate rep042 1.5545584124486265
D750_11_10 exp MD-Cat rep042 1.1929113889253604
D750_11_10 unif wLogDate rep043 1.507695902632454
D750_11_10 unif MD-Cat rep043 1.3832141343799735
D750_11_10 lognorm wLogDate rep043 0.37670772452000256
D750_11_10 lognorm MD-Cat rep043 0.3780617583157315
D750_11_10 gamma wLogDate rep043 0.40126214438743113
D750_11_10 gamma MD-Cat rep043 0.4165652999448925
D750_11_10 exp wLogDate rep043 1.339960204597737
D750_11_10 exp MD-Cat rep043 1.2033928346029994
D750_11_10 unif wLogDate rep044 1.0853385809079075
D750_11_10 unif MD-Cat rep044 0.9904729998506577
D750_11_10 lognorm wLogDate rep044 0.3636252601767277
D750_11_10 lognorm MD-Cat rep044 0.4083941625420717
D750_11_10 gamma wLogDate rep044 0.3507788018495402
D750_11_10 gamma MD-Cat rep044 0.42511427182200595
