treeModel rep clockModel nodeID trueTime estTime p0025 p0975
D750_11_10 rep001 trilnormcave 000058 12.3954 13.4536 10.302478439060046 17.198142029992994
D750_11_10 rep001 trilnormcave 000059 7.40769 10.1977 8.453508021861628 12.446519927468122
D750_11_10 rep001 trilnormcave 000060 2.61955 2.2867 1.1838476144559325 5.070890206059566 
D750_11_10 rep001 trilnormcave 000061 5.62175 7.3785 5.320126379817838 12.721399763146223
D750_11_10 rep001 trilnormcave 000062 4.19937 5.3924 2.9117667661511626 5.590749740363472
D750_11_10 rep001 trilnormcave 000063 5.34042 8.3049 1.1030728925428122 9.307122423589604
D750_11_10 rep001 trilnormcave 000064 3.41536 3.5159 0.0010237700220976365 6.689974687720385
D750_11_10 rep001 trilnormcave 000065 7.59536 7.4321 4.453566795608221 8.14951194891319
D750_11_10 rep001 trilnormcave 000066 16.1766 15.7186 14.534919973102209 22.201961199737173
D750_11_10 rep001 trilnormcave 000067 1.02657 0.7388 0.0010418996859191307 1.3245096720355531
D750_11_10 rep001 trilnormcave 000068 3.2519 6.0491 2.8788245569383473 7.305209917591575 
D750_11_10 rep001 trilnormcave 000069 7.59536 7.4321 4.453566795608221 8.14951194891319
D750_11_10 rep001 trilnormcave 000070 3.93242 4.5788 3.3905916385227224 7.344657533158514
D750_11_10 rep001 trilnormcave 000071 8.59538 8.4165 8.091526790419104 11.572506895926344
D750_11_10 rep001 trilnormcave 000072 17.3928 18.1964 13.893947078767157 20.462597828231804 
D750_11_10 rep001 trilnormcave 000073 3.12694 4.6905 2.268259915533073 4.948637436515338 
D750_11_10 rep001 trilnormcave 000074 0.224438 0.1827 0.0010059348201721236 1.2669281326377408
D750_11_10 rep001 trilnormcave 000075 3.02657 2.7388 2.001041899685919 3.3245096720355534
D750_11_10 rep001 trilnormcave 000076 11.8574 11.8758 8.00201390592899 12.370693587638126 
D750_11_10 rep001 trilnormcave 000077 17.6576 20.3973 11.171083234670446 22.795028412018315 
D750_11_10 rep001 trilnormcave 000078 10.9521 11.8933 10.001015091954864 14.620571796989829
D750_11_10 rep001 trilnormcave 000079 3.91602 3.2539 2.7397419157321714 6.397626509769574 
D750_11_10 rep001 trilnormcave 000080 1.55668 3.1852 1.28770786787908 5.398304396032923 
D750_11_10 rep001 trilnormcave 000081 0.131387 0.1139 0.001001747770735249 3.0413385175896885
D750_11_10 rep001 trilnormcave 000082 9.34041 12.3049 5.103072892542812 13.307122423589604
D750_11_10 rep001 trilnormcave 000083 2.60192 3.6144 1.9772667511467672 4.366495138762874
D750_11_10 rep001 trilnormcave 000084 18.5304 18.9037 14.001002245958015 20.226046205418534
D750_11_10 rep001 trilnormcave 000085 9.59537 8.5276 7.329581225062816 11.392537364365381 
D750_11_10 rep001 trilnormcave 000086 7.33314 5.6085 3.265726322302736 9.681133706719487
D750_11_10 rep001 trilnormcave 000087 2.22443 2.1827 2.001005934820172 3.266928132637741
D750_11_10 rep001 trilnormcave 000088 19.0934 18.1177 11.881623847834845 21.997746714517266
D750_11_10 rep001 trilnormcave 000089 8.5356 13.1705 4.997702621879733 13.288914999503628
D750_11_10 rep001 trilnormcave 000090 9.62175 11.3785 9.320126379817838 16.721399763146223
D750_11_10 rep001 trilnormcave 000091 3.73237 3.421 3.181210418778471 7.264279951292266
D750_11_10 rep001 trilnormcave 000092 5.59536 8.2232 4.988683043532768 10.157923463198577
D750_11_10 rep001 trilnormcave 000093 9.33314 7.6085 5.265726322302736 11.681133706719487
D750_11_10 rep001 trilnormcave 000094 1.94347 3.3988 1.8544333652188163 5.017008184859282
D750_11_10 rep001 trilnormcave 000095 4.60193 5.6144 3.977266751146767 6.366495138762874
D750_11_10 rep001 trilnormcave 000096 9.41538 9.5159 6.001023770022098 12.689974687720385
