"scenario" "rep" "k" "nodeName" "trueNodeAge" "estNodeAge" "error"
"154" "scenario1" "rep001" 25 "I11" 8.33087 9.6058 0.00910664285714285
"155" "scenario1" "rep001" 25 "I12" 52.2788 29.1718 0.16505
"156" "scenario1" "rep001" 25 "I13" 8.5159 10.1898 0.0119564285714286
"157" "scenario1" "rep001" 25 "I14" 36.5605 38.2972 0.012405
"158" "scenario1" "rep001" 25 "I15" 9.61193 10.6698 0.00755621428571429
"159" "scenario1" "rep001" 25 "I16" 18.552 23.2394 0.0334814285714286
"160" "scenario1" "rep001" 25 "I17" 64.4724 65.017 0.00389000000000002
"161" "scenario1" "rep001" 25 "I18" 7.12688 8.5316 0.0100337142857143
"162" "scenario1" "rep001" 25 "I19" 12.9639 8.9447 0.0287085714285714
"163" "scenario1" "rep001" 25 "I2" 45.1116 24.8246 0.144907142857143
"164" "scenario1" "rep001" 25 "I20" 16.3031 15.6347 0.00477428571428572
"165" "scenario1" "rep001" 25 "I21" 24.8599 33.7718 0.0636564285714286
"166" "scenario1" "rep001" 25 "I22" 30.0471 34.4039 0.03112
"167" "scenario1" "rep001" 25 "I23" 32.4873 43.5348 0.0789107142857143
"168" "scenario1" "rep001" 25 "I24" 31.6844 36.4318 0.03391
"169" "scenario1" "rep001" 25 "I25" 33.9221 43.8742 0.0710864285714286
"170" "scenario1" "rep001" 25 "I26" 37.7111 45.6318 0.0565764285714285
"171" "scenario1" "rep001" 25 "I27" 39.3061 46.1217 0.0486828571428571
"172" "scenario1" "rep001" 25 "I28" 49.2904 84.5434 0.251807142857143
"173" "scenario1" "rep001" 25 "I29" 54.541 57.0052 0.0176014285714286
"174" "scenario1" "rep001" 25 "I3" 53.1728 37.2521 0.113719285714286
"175" "scenario1" "rep001" 25 "I30" 8.64398 9.1137 0.00335514285714285
"176" "scenario1" "rep001" 25 "I31" 18.7662 75.8734 0.407908571428571
"177" "scenario1" "rep001" 25 "I32" 20.3792 76.5282 0.401064285714286
"178" "scenario1" "rep001" 25 "I33" 39.6276 98.1453 0.417983571428571
"179" "scenario1" "rep001" 25 "I34" 15.3699 14.3777 0.00708714285714285
"180" "scenario1" "rep001" 25 "I35" 16.5318 17.7969 0.00903642857142857
"181" "scenario1" "rep001" 25 "I36" 17.1885 18.4609 0.00908857142857141
"182" "scenario1" "rep001" 25 "I37" 18.0794 19.2908 0.00865285714285715
"183" "scenario1" "rep001" 25 "I38" 24.2807 28.7147 0.0316714285714286
"184" "scenario1" "rep001" 25 "I39" 25.3912 29.5776 0.0299028571428571
"185" "scenario1" "rep001" 25 "I4" 4.29313 4.7193 0.00304407142857143
"186" "scenario1" "rep001" 25 "I40" 26.2688 30.0884 0.0272828571428572
"187" "scenario1" "rep001" 25 "I41" 27.3794 32.9345 0.0396792857142857
"188" "scenario1" "rep001" 25 "I42" 33.9127 38.0517 0.0295642857142857
"189" "scenario1" "rep001" 25 "I43" 41.7203 48.5168 0.0485464285714286
"190" "scenario1" "rep001" 25 "I44" 43.2265 51.924 0.062125
"191" "scenario1" "rep001" 25 "I45" 48.2767 57.1994 0.0637335714285714
"192" "scenario1" "rep001" 25 "I46" 56.6923 57.72 0.00734071428571426
"193" "scenario1" "rep001" 25 "I47" 76.9586 77.6092 0.00464714285714284
"194" "scenario1" "rep001" 25 "I48" 79.3105 78.6002 0.00507357142857146
"195" "scenario1" "rep001" 25 "I49" 52.3546 57.7847 0.0387864285714286
"196" "scenario1" "rep001" 25 "I5" 9.33696 12.8955 0.0254181428571429
"197" "scenario1" "rep001" 25 "I50" 58.469 111.3108 0.377441428571429
"198" "scenario1" "rep001" 25 "I51" 83.0134 123.0883 0.286249285714286
"199" "scenario1" "rep001" 25 "I52" 83.4521 123.5195 0.286195714285714
"200" "scenario1" "rep001" 25 "I53" 83.7694 124.52 0.291075714285714
"201" "scenario1" "rep001" 25 "I54" 87.5096 129.6858 0.301258571428571
"202" "scenario1" "rep001" 25 "I55" 26.0402 30.5038 0.0318828571428571
"203" "scenario1" "rep001" 25 "I56" 26.8496 33.1599 0.0450735714285714
"204" "scenario1" "rep001" 25 "I57" 28.4881 33.5905 0.0364457142857143
"205" "scenario1" "rep001" 25 "I58" 45.7523 34.0305 0.0837271428571428
"206" "scenario1" "rep001" 25 "I59" 89.2963 98.2988 0.0643035714285714
"207" "scenario1" "rep001" 25 "I6" 33.1967 36.8984 0.0264407142857143
"208" "scenario1" "rep001" 25 "I60" 31.2313 34.4201 0.0227771428571428
"209" "scenario1" "rep001" 25 "I61" 31.807 46.9489 0.108156428571429
"210" "scenario1" "rep001" 25 "I62" 34.9944 48.3998 0.0957528571428571
"211" "scenario1" "rep001" 25 "I63" 32.6694 47.788 0.10799
"212" "scenario1" "rep001" 25 "I64" 33.8687 50.9994 0.122362142857143
"213" "scenario1" "rep001" 25 "I65" 41.6289 54.335 0.0907578571428571
"214" "scenario1" "rep001" 25 "I66" 44.4088 77.9509 0.239586428571429
"215" "scenario1" "rep001" 25 "I67" 55.5269 83.6475 0.200861428571429
"216" "scenario1" "rep001" 25 "I68" 33.642 35.4683 0.013045
"217" "scenario1" "rep001" 25 "I69" 33.6432 36.4702 0.0201928571428571
"218" "scenario1" "rep001" 25 "I7" 6.9627 8.1113 0.00820428571428571
"219" "scenario1" "rep001" 25 "I70" 39.5374 43.0247 0.0249092857142857
"220" "scenario1" "rep001" 25 "I71" 41.25 44.9496 0.0264257142857143
"221" "scenario1" "rep001" 25 "I72" 35.6755 37.4615 0.0127571428571429
"222" "scenario1" "rep001" 25 "I73" 36.3187 39.9511 0.0259457142857143
"223" "scenario1" "rep001" 25 "I74" 37.3101 40.9146 0.0257464285714286
