treeModel rep clockModel k_input k_uniq
D750_11_10 rep006 trilnormcave 3 3
D750_11_10 rep006 trilnormcave 50 6
D750_11_10 rep006 trilnormcave 5 3
D750_11_10 rep006 trilnorm 100 4
D750_11_10 rep006 trilnorm 10 4
D750_11_10 rep006 trilnorm 1 1
D750_11_10 rep006 trilnorm 218 4
D750_11_10 rep006 trilnorm 25 4
D750_11_10 rep006 trilnorm 2 2
D750_11_10 rep006 trilnorm 3 3
D750_11_10 rep006 trilnorm 50 4
D750_11_10 rep006 trilnorm 5 3
D750_11_10 rep006 trilnormvex 100 7
D750_11_10 rep006 trilnormvex 10 4
D750_11_10 rep006 trilnormvex 1 1
D750_11_10 rep006 trilnormvex 218 6
D750_11_10 rep006 trilnormvex 25 5
D750_11_10 rep006 trilnormvex 2 2
D750_11_10 rep006 trilnormvex 3 3
D750_11_10 rep006 trilnormvex 50 6
D750_11_10 rep006 trilnormvex 5 3
D750_11_10 rep006 trilnormvex 75 4
D750_11_10 rep007 trilnormcave 100 4
D750_11_10 rep007 trilnormcave 10 3
D750_11_10 rep007 trilnormcave 1 1
D750_11_10 rep007 trilnormcave 218 4
D750_11_10 rep007 trilnormcave 25 4
D750_11_10 rep007 trilnormcave 2 2
D750_11_10 rep007 trilnormcave 3 3
D750_11_10 rep007 trilnormcave 50 6
D750_11_10 rep007 trilnormcave 5 3
D750_11_10 rep007 trilnorm 100 4
D750_11_10 rep007 trilnorm 10 4
D750_11_10 rep007 trilnorm 1 1
D750_11_10 rep007 trilnorm 218 4
D750_11_10 rep007 trilnorm 25 4
D750_11_10 rep007 trilnorm 2 2
D750_11_10 rep007 trilnorm 3 3
D750_11_10 rep007 trilnorm 50 4
D750_11_10 rep007 trilnorm 5 3
D750_11_10 rep007 trilnormvex 100 6
D750_11_10 rep007 trilnormvex 10 6
D750_11_10 rep007 trilnormvex 1 1
D750_11_10 rep007 trilnormvex 218 6
D750_11_10 rep007 trilnormvex 25 9
D750_11_10 rep007 trilnormvex 2 2
D750_11_10 rep007 trilnormvex 3 3
D750_11_10 rep007 trilnormvex 50 8
D750_11_10 rep007 trilnormvex 5 4
D750_11_10 rep007 trilnormvex 75 9
D750_11_10 rep008 trilnormcave 100 11
D750_11_10 rep008 trilnormcave 10 6
D750_11_10 rep008 trilnormcave 1 1
D750_11_10 rep008 trilnormcave 218 11
D750_11_10 rep008 trilnormcave 25 7
D750_11_10 rep008 trilnormcave 2 2
D750_11_10 rep008 trilnormcave 3 3
D750_11_10 rep008 trilnormcave 50 7
D750_11_10 rep008 trilnormcave 5 4
D750_11_10 rep008 trilnorm 100 6
D750_11_10 rep008 trilnorm 10 5
D750_11_10 rep008 trilnorm 1 1
D750_11_10 rep008 trilnorm 218 6
D750_11_10 rep008 trilnorm 25 7
D750_11_10 rep008 trilnorm 2 2
D750_11_10 rep008 trilnorm 3 3
D750_11_10 rep008 trilnorm 50 7
D750_11_10 rep008 trilnorm 5 4
D750_11_10 rep008 trilnormvex 100 6
D750_11_10 rep008 trilnormvex 10 5
D750_11_10 rep008 trilnormvex 1 1
D750_11_10 rep008 trilnormvex 218 8
D750_11_10 rep008 trilnormvex 25 7
D750_11_10 rep008 trilnormvex 2 2
D750_11_10 rep008 trilnormvex 3 3
D750_11_10 rep008 trilnormvex 50 6
D750_11_10 rep008 trilnormvex 5 3
D750_11_10 rep008 trilnormvex 75 5
D750_11_10 rep009 trilnormcave 100 7
D750_11_10 rep009 trilnormcave 10 4
D750_11_10 rep009 trilnormcave 1 1
D750_11_10 rep009 trilnormcave 218 7
D750_11_10 rep009 trilnormcave 25 8
D750_11_10 rep009 trilnormcave 2 2
D750_11_10 rep009 trilnormcave 3 3
D750_11_10 rep009 trilnormcave 50 6
D750_11_10 rep009 trilnormcave 5 4
D750_11_10 rep009 trilnorm 100 5
D750_11_10 rep009 trilnorm 10 4
D750_11_10 rep009 trilnorm 1 1
D750_11_10 rep009 trilnorm 218 4
D750_11_10 rep009 trilnorm 25 4
D750_11_10 rep009 trilnorm 2 2
D750_11_10 rep009 trilnorm 3 3
D750_11_10 rep009 trilnorm 50 5
D750_11_10 rep009 trilnorm 5 3
D750_11_10 rep009 trilnormvex 100 5
D750_11_10 rep009 trilnormvex 10 4
D750_11_10 rep009 trilnormvex 1 1
D750_11_10 rep009 trilnormvex 218 7
D750_11_10 rep009 trilnormvex 25 5
D750_11_10 rep009 trilnormvex 2 2
D750_11_10 rep009 trilnormvex 3 3
D750_11_10 rep009 trilnormvex 50 5
D750_11_10 rep009 trilnormvex 5 3
D750_11_10 rep009 trilnormvex 75 5
D750_11_10 rep010 trilnormcave 100 10
D750_11_10 rep010 trilnormcave 10 5
D750_11_10 rep010 trilnormcave 1 1
D750_11_10 rep010 trilnormcave 218 7
D750_11_10 rep010 trilnormcave 25 7
D750_11_10 rep010 trilnormcave 2 2
D750_11_10 rep010 trilnormcave 3 3
D750_11_10 rep010 trilnormcave 50 6
D750_11_10 rep010 trilnormcave 5 4
D750_11_10 rep010 trilnorm 100 9
D750_11_10 rep010 trilnorm 10 4
D750_11_10 rep010 trilnorm 1 1
D750_11_10 rep010 trilnorm 218 4
D750_11_10 rep010 trilnorm 25 4
D750_11_10 rep010 trilnorm 2 2
D750_11_10 rep010 trilnorm 3 3
D750_11_10 rep010 trilnorm 50 4
D750_11_10 rep010 trilnorm 5 4
D750_11_10 rep010 trilnormvex 100 4
D750_11_10 rep010 trilnormvex 10 4
D750_11_10 rep010 trilnormvex 1 1
D750_11_10 rep010 trilnormvex 218 9
D750_11_10 rep010 trilnormvex 25 5
D750_11_10 rep010 trilnormvex 2 2
D750_11_10 rep010 trilnormvex 3 3
D750_11_10 rep010 trilnormvex 50 7
D750_11_10 rep010 trilnormvex 5 4
D750_11_10 rep010 trilnormvex 75 7
D750_11_10 rep011 trilnormcave 100 6
D750_11_10 rep011 trilnormcave 10 5
D750_11_10 rep011 trilnormcave 1 1
D750_11_10 rep011 trilnormcave 218 9
D750_11_10 rep011 trilnormcave 25 6
D750_11_10 rep011 trilnormcave 2 2
D750_11_10 rep011 trilnormcave 3 3
D750_11_10 rep011 trilnormcave 50 6
D750_11_10 rep011 trilnormcave 5 3
D750_11_10 rep011 trilnorm 100 6
D750_11_10 rep011 trilnorm 10 4
D750_11_10 rep011 trilnorm 1 1
D750_11_10 rep011 trilnorm 218 6
D750_11_10 rep011 trilnorm 25 8
D750_11_10 rep011 trilnorm 2 2
D750_11_10 rep011 trilnorm 3 3
D750_11_10 rep011 trilnorm 50 7
D750_11_10 rep011 trilnorm 5 3
D750_11_10 rep011 trilnormvex 100 7
D750_11_10 rep011 trilnormvex 10 5
D750_11_10 rep011 trilnormvex 1 1
D750_11_10 rep011 trilnormvex 218 12
D750_11_10 rep011 trilnormvex 25 9
D750_11_10 rep011 trilnormvex 2 2
D750_11_10 rep011 trilnormvex 3 3
D750_11_10 rep011 trilnormvex 50 7
D750_11_10 rep011 trilnormvex 5 5
D750_11_10 rep011 trilnormvex 75 5
D750_11_10 rep012 trilnormcave 100 5
D750_11_10 rep012 trilnormcave 10 4
D750_11_10 rep012 trilnormcave 1 1
D750_11_10 rep012 trilnormcave 218 5
D750_11_10 rep012 trilnormcave 25 5
D750_11_10 rep012 trilnormcave 2 2
D750_11_10 rep012 trilnormcave 3 3
D750_11_10 rep012 trilnormcave 50 5
D750_11_10 rep012 trilnormcave 5 4
D750_11_10 rep012 trilnorm 100 5
D750_11_10 rep012 trilnorm 10 4
D750_11_10 rep012 trilnorm 1 1
D750_11_10 rep012 trilnorm 218 4
D750_11_10 rep012 trilnorm 25 4
D750_11_10 rep012 trilnorm 2 2
D750_11_10 rep012 trilnorm 3 3
D750_11_10 rep012 trilnorm 50 4
D750_11_10 rep012 trilnorm 5 3
D750_11_10 rep012 trilnormvex 100 4
D750_11_10 rep012 trilnormvex 10 4
D750_11_10 rep012 trilnormvex 1 1
D750_11_10 rep012 trilnormvex 218 5
D750_11_10 rep012 trilnormvex 25 4
D750_11_10 rep012 trilnormvex 2 2
D750_11_10 rep012 trilnormvex 3 3
D750_11_10 rep012 trilnormvex 50 5
D750_11_10 rep012 trilnormvex 5 4
D750_11_10 rep012 trilnormvex 75 4
D750_11_10 rep013 trilnormcave 100 6
D750_11_10 rep013 trilnormcave 10 5
D750_11_10 rep013 trilnormcave 1 1
D750_11_10 rep013 trilnormcave 218 6
D750_11_10 rep013 trilnormcave 25 5
D750_11_10 rep013 trilnormcave 2 2
D750_11_10 rep013 trilnormcave 3 3
D750_11_10 rep013 trilnormcave 50 5
D750_11_10 rep013 trilnormcave 5 3
D750_11_10 rep013 trilnorm 100 4
D750_11_10 rep013 trilnorm 10 4
D750_11_10 rep013 trilnorm 1 1
D750_11_10 rep013 trilnorm 218 4
