treeModel rep clockModel k_input k_uniq
D750_3_25 rep003 trilnormvex 5 4
D750_3_25 rep003 trilnormvex 75 6
D750_3_25 rep004 trilnormcave 100 7
D750_3_25 rep004 trilnormcave 10 5
D750_3_25 rep004 trilnormcave 148 7
D750_3_25 rep004 trilnormcave 1 1
D750_3_25 rep004 trilnormcave 25 7
D750_3_25 rep004 trilnormcave 2 2
D750_3_25 rep004 trilnormcave 3 3
D750_3_25 rep004 trilnormcave 50 7
D750_3_25 rep004 trilnormcave 5 3
D750_3_25 rep004 trilnorm 100 8
D750_3_25 rep004 trilnorm 10 6
D750_3_25 rep004 trilnorm 148 12
D750_3_25 rep004 trilnorm 1 1
D750_3_25 rep004 trilnorm 25 11
D750_3_25 rep004 trilnorm 2 2
D750_3_25 rep004 trilnorm 3 3
D750_3_25 rep004 trilnorm 50 9
D750_3_25 rep004 trilnorm 5 5
D750_3_25 rep004 trilnormvex 100 4
D750_3_25 rep004 trilnormvex 10 4
D750_3_25 rep004 trilnormvex 148 5
D750_3_25 rep004 trilnormvex 1 1
D750_3_25 rep004 trilnormvex 25 8
D750_3_25 rep004 trilnormvex 2 2
D750_3_25 rep004 trilnormvex 3 3
D750_3_25 rep004 trilnormvex 50 5
D750_3_25 rep004 trilnormvex 5 4
D750_3_25 rep004 trilnormvex 75 6
D750_3_25 rep005 trilnormcave 100 8
D750_3_25 rep005 trilnormcave 10 5
D750_3_25 rep005 trilnormcave 148 7
D750_3_25 rep005 trilnormcave 1 1
D750_3_25 rep005 trilnormcave 25 7
D750_3_25 rep005 trilnormcave 2 2
D750_3_25 rep005 trilnormcave 3 3
D750_3_25 rep005 trilnormcave 50 7
D750_3_25 rep005 trilnormcave 5 4
D750_3_25 rep005 trilnorm 100 5
D750_3_25 rep005 trilnorm 10 6
D750_3_25 rep005 trilnorm 148 7
D750_3_25 rep005 trilnorm 1 1
D750_3_25 rep005 trilnorm 25 8
D750_3_25 rep005 trilnorm 2 2
D750_3_25 rep005 trilnorm 3 3
D750_3_25 rep005 trilnorm 50 7
D750_3_25 rep005 trilnorm 5 4
D750_3_25 rep005 trilnormvex 100 8
D750_3_25 rep005 trilnormvex 10 6
D750_3_25 rep005 trilnormvex 148 7
D750_3_25 rep005 trilnormvex 1 1
D750_3_25 rep005 trilnormvex 25 7
D750_3_25 rep005 trilnormvex 2 2
D750_3_25 rep005 trilnormvex 3 3
D750_3_25 rep005 trilnormvex 50 8
D750_3_25 rep005 trilnormvex 5 4
D750_3_25 rep005 trilnormvex 75 8
D750_3_25 rep006 trilnormcave 100 6
D750_3_25 rep006 trilnormcave 10 5
D750_3_25 rep006 trilnormcave 148 7
D750_3_25 rep006 trilnormcave 1 1
D750_3_25 rep006 trilnormcave 25 7
D750_3_25 rep006 trilnormcave 2 2
D750_3_25 rep006 trilnormcave 3 3
D750_3_25 rep006 trilnormcave 50 7
D750_3_25 rep006 trilnormcave 5 4
D750_3_25 rep006 trilnorm 100 8
D750_3_25 rep006 trilnorm 10 5
D750_3_25 rep006 trilnorm 148 10
D750_3_25 rep006 trilnorm 1 1
D750_3_25 rep006 trilnorm 25 7
D750_3_25 rep006 trilnorm 2 2
D750_3_25 rep006 trilnorm 3 3
D750_3_25 rep006 trilnorm 50 7
D750_3_25 rep006 trilnorm 5 5
D750_3_25 rep006 trilnormvex 100 6
D750_3_25 rep006 trilnormvex 10 5
D750_3_25 rep006 trilnormvex 148 5
D750_3_25 rep006 trilnormvex 1 1
D750_3_25 rep006 trilnormvex 25 8
D750_3_25 rep006 trilnormvex 2 2
D750_3_25 rep006 trilnormvex 3 3
D750_3_25 rep006 trilnormvex 50 7
D750_3_25 rep006 trilnormvex 5 4
D750_3_25 rep006 trilnormvex 75 7
D750_3_25 rep007 trilnormcave 100 7
D750_3_25 rep007 trilnormcave 10 5
D750_3_25 rep007 trilnormcave 148 7
D750_3_25 rep007 trilnormcave 1 1
D750_3_25 rep007 trilnormcave 25 6
D750_3_25 rep007 trilnormcave 2 2
D750_3_25 rep007 trilnormcave 3 3
D750_3_25 rep007 trilnormcave 50 6
D750_3_25 rep007 trilnormcave 5 5
D750_3_25 rep007 trilnorm 100 8
D750_3_25 rep007 trilnorm 10 6
D750_3_25 rep007 trilnorm 148 7
D750_3_25 rep007 trilnorm 1 1
D750_3_25 rep007 trilnorm 25 7
D750_3_25 rep007 trilnorm 2 2
D750_3_25 rep007 trilnorm 3 3
D750_3_25 rep007 trilnorm 50 11
D750_3_25 rep007 trilnorm 5 4
D750_3_25 rep007 trilnormvex 100 7
D750_3_25 rep007 trilnormvex 10 7
D750_3_25 rep007 trilnormvex 148 8
D750_3_25 rep007 trilnormvex 1 1
D750_3_25 rep007 trilnormvex 25 6
D750_3_25 rep007 trilnormvex 2 2
D750_3_25 rep007 trilnormvex 3 3
D750_3_25 rep007 trilnormvex 50 7
D750_3_25 rep007 trilnormvex 5 4
D750_3_25 rep007 trilnormvex 75 6
D750_3_25 rep008 trilnormcave 100 6
D750_3_25 rep008 trilnormcave 10 4
D750_3_25 rep008 trilnormcave 148 7
D750_3_25 rep008 trilnormcave 1 1
D750_3_25 rep008 trilnormcave 25 7
D750_3_25 rep008 trilnormcave 2 2
D750_3_25 rep008 trilnormcave 3 3
D750_3_25 rep008 trilnormcave 50 6
D750_3_25 rep008 trilnormcave 5 3
D750_3_25 rep008 trilnorm 100 7
D750_3_25 rep008 trilnorm 10 5
D750_3_25 rep008 trilnorm 148 6
D750_3_25 rep008 trilnorm 1 1
D750_3_25 rep008 trilnorm 25 5
D750_3_25 rep008 trilnorm 2 2
D750_3_25 rep008 trilnorm 3 3
D750_3_25 rep008 trilnorm 50 6
D750_3_25 rep008 trilnorm 5 5
D750_3_25 rep008 trilnormvex 100 9
D750_3_25 rep008 trilnormvex 10 6
D750_3_25 rep008 trilnormvex 148 7
D750_3_25 rep008 trilnormvex 1 1
D750_3_25 rep008 trilnormvex 25 8
D750_3_25 rep008 trilnormvex 2 2
D750_3_25 rep008 trilnormvex 3 3
D750_3_25 rep008 trilnormvex 50 8
D750_3_25 rep008 trilnormvex 5 5
D750_3_25 rep008 trilnormvex 75 9
D750_3_25 rep009 trilnormcave 100 6
D750_3_25 rep009 trilnormcave 10 6
D750_3_25 rep009 trilnormcave 148 7
D750_3_25 rep009 trilnormcave 1 1
D750_3_25 rep009 trilnormcave 25 6
D750_3_25 rep009 trilnormcave 2 2
D750_3_25 rep009 trilnormcave 3 3
D750_3_25 rep009 trilnormcave 50 5
D750_3_25 rep009 trilnormcave 5 5
D750_3_25 rep009 trilnorm 100 9
D750_3_25 rep009 trilnorm 10 7
D750_3_25 rep009 trilnorm 148 10
D750_3_25 rep009 trilnorm 1 1
D750_3_25 rep009 trilnorm 25 9
D750_3_25 rep009 trilnorm 2 2
D750_3_25 rep009 trilnorm 3 3
D750_3_25 rep009 trilnorm 50 10
D750_3_25 rep009 trilnorm 5 5
D750_3_25 rep009 trilnormvex 100 8
D750_3_25 rep009 trilnormvex 10 6
D750_3_25 rep009 trilnormvex 148 12
D750_3_25 rep009 trilnormvex 1 1
D750_3_25 rep009 trilnormvex 25 6
D750_3_25 rep009 trilnormvex 2 2
D750_3_25 rep009 trilnormvex 3 3
D750_3_25 rep009 trilnormvex 50 9
D750_3_25 rep009 trilnormvex 5 5
D750_3_25 rep009 trilnormvex 75 7
D750_3_25 rep010 trilnormcave 100 6
D750_3_25 rep010 trilnormcave 10 4
D750_3_25 rep010 trilnormcave 148 6
D750_3_25 rep010 trilnormcave 1 1
D750_3_25 rep010 trilnormcave 25 6
D750_3_25 rep010 trilnormcave 2 2
D750_3_25 rep010 trilnormcave 3 3
D750_3_25 rep010 trilnormcave 50 6
D750_3_25 rep010 trilnormcave 5 4
D750_3_25 rep010 trilnorm 100 6
D750_3_25 rep010 trilnorm 10 7
D750_3_25 rep010 trilnorm 148 9
D750_3_25 rep010 trilnorm 1 1
D750_3_25 rep010 trilnorm 25 7
D750_3_25 rep010 trilnorm 2 2
D750_3_25 rep010 trilnorm 3 3
D750_3_25 rep010 trilnorm 50 8
D750_3_25 rep010 trilnorm 5 5
D750_3_25 rep010 trilnormvex 100 8
D750_3_25 rep010 trilnormvex 10 6
D750_3_25 rep010 trilnormvex 148 10
D750_3_25 rep010 trilnormvex 1 1
D750_3_25 rep010 trilnormvex 25 8
D750_3_25 rep010 trilnormvex 2 2
D750_3_25 rep010 trilnormvex 3 3
D750_3_25 rep010 trilnormvex 50 9
D750_3_25 rep010 trilnormvex 5 5
D750_3_25 rep010 trilnormvex 75 8
D750_3_25 rep011 trilnormcave 100 6
D750_3_25 rep011 trilnormcave 10 5
D750_3_25 rep011 trilnormcave 148 9
D750_3_25 rep011 trilnormcave 1 1
D750_3_25 rep011 trilnormcave 25 5
D750_3_25 rep011 trilnormcave 2 2
D750_3_25 rep011 trilnormcave 3 3
D750_3_25 rep011 trilnormcave 50 10
D750_3_25 rep011 trilnormcave 5 5
D750_3_25 rep011 trilnorm 100 8
D750_3_25 rep011 trilnorm 10 5
D750_3_25 rep011 trilnorm 148 6
D750_3_25 rep011 trilnorm 1 1
D750_3_25 rep011 trilnorm 25 7
D750_3_25 rep011 trilnorm 2 2
D750_3_25 rep011 trilnorm 3 3
D750_3_25 rep011 trilnorm 50 7
D750_3_25 rep011 trilnorm 5 5
D750_3_25 rep011 trilnormvex 100 11
D750_3_25 rep011 trilnormvex 10 6
D750_3_25 rep011 trilnormvex 148 7
D750_3_25 rep011 trilnormvex 1 1
D750_3_25 rep011 trilnormvex 25 6
D750_3_25 rep011 trilnormvex 2 2
D750_3_25 rep011 trilnormvex 3 3
D750_3_25 rep011 trilnormvex 50 6
D750_3_25 rep011 trilnormvex 5 4
D750_3_25 rep011 trilnormvex 75 8
D750_3_25 rep012 trilnormcave 100 6
D750_3_25 rep012 trilnormcave 10 4
D750_3_25 rep012 trilnormcave 148 5
D750_3_25 rep012 trilnormcave 1 1
D750_3_25 rep012 trilnormcave 25 6
D750_3_25 rep012 trilnormcave 2 2
D750_3_25 rep012 trilnormcave 3 3
D750_3_25 rep012 trilnormcave 50 7
D750_3_25 rep012 trilnormcave 5 5
D750_3_25 rep012 trilnorm 100 10
D750_3_25 rep012 trilnorm 10 6
D750_3_25 rep012 trilnorm 148 11
D750_3_25 rep012 trilnorm 1 1
D750_3_25 rep012 trilnorm 25 7
D750_3_25 rep012 trilnorm 2 2
D750_3_25 rep012 trilnorm 3 3
D750_3_25 rep012 trilnorm 50 7
D750_3_25 rep012 trilnorm 5 4
D750_3_25 rep012 trilnormvex 100 7
D750_3_25 rep012 trilnormvex 10 6
D750_3_25 rep012 trilnormvex 148 10
D750_3_25 rep012 trilnormvex 1 1
D750_3_25 rep012 trilnormvex 25 5
D750_3_25 rep012 trilnormvex 2 2
D750_3_25 rep012 trilnormvex 3 3
D750_3_25 rep012 trilnormvex 50 6
D750_3_25 rep012 trilnormvex 5 4
D750_3_25 rep012 trilnormvex 75 6
D750_3_25 rep013 trilnormcave 100 7
D750_3_25 rep013 trilnormcave 10 5
D750_3_25 rep013 trilnormcave 148 6
D750_3_25 rep013 trilnormcave 1 1
D750_3_25 rep013 trilnormcave 25 5
D750_3_25 rep013 trilnormcave 2 2
D750_3_25 rep013 trilnormcave 3 3
D750_3_25 rep013 trilnormcave 50 6
D750_3_25 rep013 trilnormcave 5 4
D750_3_25 rep013 trilnorm 100 6
D750_3_25 rep013 trilnorm 10 4
D750_3_25 rep013 trilnorm 148 5
D750_3_25 rep013 trilnorm 1 1
D750_3_25 rep013 trilnorm 25 6
D750_3_25 rep013 trilnorm 2 2
D750_3_25 rep013 trilnorm 3 3
D750_3_25 rep013 trilnorm 50 6
D750_3_25 rep013 trilnorm 5 4
D750_3_25 rep013 trilnormvex 100 7
D750_3_25 rep013 trilnormvex 10 6
D750_3_25 rep013 trilnormvex 148 9
D750_3_25 rep013 trilnormvex 1 1
D750_3_25 rep013 trilnormvex 25 8
D750_3_25 rep013 trilnormvex 2 2
D750_3_25 rep013 trilnormvex 3 3
D750_3_25 rep013 trilnormvex 50 9
D750_3_25 rep013 trilnormvex 5 5
D750_3_25 rep013 trilnormvex 75 6
D750_3_25 rep014 trilnormcave 100 13
D750_3_25 rep014 trilnormcave 10 5
D750_3_25 rep014 trilnormcave 148 6
D750_3_25 rep014 trilnormcave 1 1
D750_3_25 rep014 trilnormcave 25 7
D750_3_25 rep014 trilnormcave 2 2
D750_3_25 rep014 trilnormcave 3 3
D750_3_25 rep014 trilnormcave 50 7
D750_3_25 rep014 trilnormcave 5 4
D750_3_25 rep014 trilnorm 100 8
D750_3_25 rep014 trilnorm 10 6
D750_3_25 rep014 trilnorm 148 10
D750_3_25 rep014 trilnorm 1 1
D750_3_25 rep014 trilnorm 25 7
D750_3_25 rep014 trilnorm 2 2
D750_3_25 rep014 trilnorm 3 3
D750_3_25 rep014 trilnorm 50 7
D750_3_25 rep014 trilnorm 5 4
D750_3_25 rep014 trilnormvex 100 8
D750_3_25 rep014 trilnormvex 10 6
D750_3_25 rep014 trilnormvex 148 9
D750_3_25 rep014 trilnormvex 1 1
D750_3_25 rep014 trilnormvex 25 8
D750_3_25 rep014 trilnormvex 2 2
D750_3_25 rep014 trilnormvex 3 3
D750_3_25 rep014 trilnormvex 50 7
D750_3_25 rep014 trilnormvex 5 5
D750_3_25 rep014 trilnormvex 75 10
D750_3_25 rep015 trilnormcave 100 6
D750_3_25 rep015 trilnormcave 10 5
D750_3_25 rep015 trilnormcave 148 9
D750_3_25 rep015 trilnormcave 1 1
D750_3_25 rep015 trilnormcave 25 6
D750_3_25 rep015 trilnormcave 2 2
D750_3_25 rep015 trilnormcave 3 3
D750_3_25 rep015 trilnormcave 50 7
D750_3_25 rep015 trilnormcave 5 4
D750_3_25 rep015 trilnorm 100 9
D750_3_25 rep015 trilnorm 10 6
D750_3_25 rep015 trilnorm 148 10
D750_3_25 rep015 trilnorm 1 1
D750_3_25 rep015 trilnorm 25 7
D750_3_25 rep015 trilnorm 2 2
D750_3_25 rep015 trilnorm 3 3
D750_3_25 rep015 trilnorm 50 10
D750_3_25 rep015 trilnorm 5 5
D750_3_25 rep015 trilnormvex 100 6
D750_3_25 rep015 trilnormvex 10 6
D750_3_25 rep015 trilnormvex 148 9
D750_3_25 rep015 trilnormvex 1 1
D750_3_25 rep015 trilnormvex 25 7
D750_3_25 rep015 trilnormvex 2 2
D750_3_25 rep015 trilnormvex 3 3
D750_3_25 rep015 trilnormvex 50 6
D750_3_25 rep015 trilnormvex 5 5
D750_3_25 rep015 trilnormvex 75 8
D750_3_25 rep016 trilnormcave 100 7
D750_3_25 rep016 trilnormcave 10 4
D750_3_25 rep016 trilnormcave 148 7
D750_3_25 rep016 trilnormcave 1 1
D750_3_25 rep016 trilnormcave 25 5
D750_3_25 rep016 trilnormcave 2 2
D750_3_25 rep016 trilnormcave 3 3
D750_3_25 rep016 trilnormcave 50 6
D750_3_25 rep016 trilnormcave 5 4
D750_3_25 rep016 trilnorm 100 8
D750_3_25 rep016 trilnorm 10 4
D750_3_25 rep016 trilnorm 148 7
D750_3_25 rep016 trilnorm 1 1
D750_3_25 rep016 trilnorm 25 5
D750_3_25 rep016 trilnorm 2 2
D750_3_25 rep016 trilnorm 3 3
D750_3_25 rep016 trilnorm 50 5
D750_3_25 rep016 trilnorm 5 4
D750_3_25 rep016 trilnormvex 100 5
D750_3_25 rep016 trilnormvex 10 5
D750_3_25 rep016 trilnormvex 148 8
D750_3_25 rep016 trilnormvex 1 1
D750_3_25 rep016 trilnormvex 25 5
D750_3_25 rep016 trilnormvex 2 2
D750_3_25 rep016 trilnormvex 3 3
D750_3_25 rep016 trilnormvex 50 7
D750_3_25 rep016 trilnormvex 5 4
D750_3_25 rep016 trilnormvex 75 6
D750_3_25 rep017 trilnormcave 100 8
D750_3_25 rep017 trilnormcave 10 7
D750_3_25 rep017 trilnormcave 148 7
D750_3_25 rep017 trilnormcave 1 1
D750_3_25 rep017 trilnormcave 25 6
D750_3_25 rep017 trilnormcave 2 2
D750_3_25 rep017 trilnormcave 3 3
D750_3_25 rep017 trilnormcave 50 8
D750_3_25 rep017 trilnormcave 5 4
D750_3_25 rep017 trilnorm 100 8
D750_3_25 rep017 trilnorm 10 6
D750_3_25 rep017 trilnorm 148 9
D750_3_25 rep017 trilnorm 1 1
D750_3_25 rep017 trilnorm 25 7
D750_3_25 rep017 trilnorm 2 2
D750_3_25 rep017 trilnorm 3 3
D750_3_25 rep017 trilnorm 50 6
D750_3_25 rep017 trilnorm 5 4
D750_3_25 rep017 trilnormvex 100 8
D750_3_25 rep017 trilnormvex 10 5
D750_3_25 rep017 trilnormvex 148 8
D750_3_25 rep017 trilnormvex 1 1
D750_3_25 rep017 trilnormvex 25 7
D750_3_25 rep017 trilnormvex 2 2
D750_3_25 rep017 trilnormvex 3 3
D750_3_25 rep017 trilnormvex 50 7
D750_3_25 rep017 trilnormvex 5 4
D750_3_25 rep017 trilnormvex 75 11
D750_3_25 rep018 trilnormcave 100 6
D750_3_25 rep018 trilnormcave 10 5
D750_3_25 rep018 trilnormcave 148 6
D750_3_25 rep018 trilnormcave 1 1
D750_3_25 rep018 trilnormcave 25 5
D750_3_25 rep018 trilnormcave 2 2
D750_3_25 rep018 trilnormcave 3 3
D750_3_25 rep018 trilnormcave 50 6
D750_3_25 rep018 trilnormcave 5 4
D750_3_25 rep018 trilnorm 100 9
D750_3_25 rep018 trilnorm 10 6
D750_3_25 rep018 trilnorm 148 7
D750_3_25 rep018 trilnorm 1 1
D750_3_25 rep018 trilnorm 25 7
D750_3_25 rep018 trilnorm 2 2
D750_3_25 rep018 trilnorm 3 3
D750_3_25 rep018 trilnorm 50 6
D750_3_25 rep018 trilnorm 5 5
D750_3_25 rep018 trilnormvex 100 7
D750_3_25 rep018 trilnormvex 10 6
D750_3_25 rep018 trilnormvex 148 8
D750_3_25 rep018 trilnormvex 1 1
D750_3_25 rep018 trilnormvex 25 7
D750_3_25 rep018 trilnormvex 2 2
D750_3_25 rep018 trilnormvex 3 3
D750_3_25 rep018 trilnormvex 50 6
D750_3_25 rep018 trilnormvex 5 4
D750_3_25 rep018 trilnormvex 75 6
D750_3_25 rep019 trilnormcave 100 6
D750_3_25 rep019 trilnormcave 10 5
D750_3_25 rep019 trilnormcave 148 8
D750_3_25 rep019 trilnormcave 1 1
D750_3_25 rep019 trilnormcave 25 6
D750_3_25 rep019 trilnormcave 2 2
D750_3_25 rep019 trilnormcave 3 3
D750_3_25 rep019 trilnormcave 50 9
D750_3_25 rep019 trilnormcave 5 4
D750_3_25 rep019 trilnorm 100 8
D750_3_25 rep019 trilnorm 10 5
D750_3_25 rep019 trilnorm 148 6
D750_3_25 rep019 trilnorm 1 1
D750_3_25 rep019 trilnorm 25 6
D750_3_25 rep019 trilnorm 2 2
D750_3_25 rep019 trilnorm 3 3
D750_3_25 rep019 trilnorm 50 6
D750_3_25 rep019 trilnorm 5 5
D750_3_25 rep019 trilnormvex 100 7
D750_3_25 rep019 trilnormvex 10 5
D750_3_25 rep019 trilnormvex 148 9
D750_3_25 rep019 trilnormvex 1 1
D750_3_25 rep019 trilnormvex 25 6
D750_3_25 rep019 trilnormvex 2 2
D750_3_25 rep019 trilnormvex 3 3
D750_3_25 rep019 trilnormvex 50 6
D750_3_25 rep019 trilnormvex 5 4
D750_3_25 rep019 trilnormvex 75 6
D750_3_25 rep020 trilnormcave 100 5
D750_3_25 rep020 trilnormcave 10 5
D750_3_25 rep020 trilnormcave 148 5
D750_3_25 rep020 trilnormcave 1 1
D750_3_25 rep020 trilnormcave 25 6
D750_3_25 rep020 trilnormcave 2 2
D750_3_25 rep020 trilnormcave 3 3
D750_3_25 rep020 trilnormcave 50 6
D750_3_25 rep020 trilnormcave 5 4
D750_3_25 rep020 trilnorm 100 8
D750_3_25 rep020 trilnorm 10 5
D750_3_25 rep020 trilnorm 148 7
D750_3_25 rep020 trilnorm 1 1
D750_3_25 rep020 trilnorm 25 6
D750_3_25 rep020 trilnorm 2 2
D750_3_25 rep020 trilnorm 3 3
D750_3_25 rep020 trilnorm 50 7
D750_3_25 rep020 trilnorm 5 5
D750_3_25 rep020 trilnormvex 100 12
D750_3_25 rep020 trilnormvex 10 6
D750_3_25 rep020 trilnormvex 148 7
D750_3_25 rep020 trilnormvex 1 1
D750_3_25 rep020 trilnormvex 25 6
D750_3_25 rep020 trilnormvex 2 2
D750_3_25 rep020 trilnormvex 3 3
D750_3_25 rep020 trilnormvex 50 7
D750_3_25 rep020 trilnormvex 5 5
D750_3_25 rep020 trilnormvex 75 7
D995_11_10 rep001 trilnormcave 100 2
D995_11_10 rep001 trilnormcave 10 2
D995_11_10 rep001 trilnormcave 1 1
D995_11_10 rep001 trilnormcave 218 2
D995_11_10 rep001 trilnormcave 25 2
D995_11_10 rep001 trilnormcave 2 2
D995_11_10 rep001 trilnormcave 3 2
D995_11_10 rep001 trilnormcave 50 2
D995_11_10 rep001 trilnormcave 5 2
D995_11_10 rep001 trilnorm 100 2
D995_11_10 rep001 trilnorm 10 2
D995_11_10 rep001 trilnorm 1 1
D995_11_10 rep001 trilnorm 218 2
D995_11_10 rep001 trilnorm 25 2
D995_11_10 rep001 trilnorm 2 2
D995_11_10 rep001 trilnorm 3 3
D995_11_10 rep001 trilnorm 50 3
D995_11_10 rep001 trilnorm 5 2
D995_11_10 rep001 trilnormvex 100 3
D995_11_10 rep001 trilnormvex 10 2
D995_11_10 rep001 trilnormvex 1 1
D995_11_10 rep001 trilnormvex 218 3
D995_11_10 rep001 trilnormvex 25 2
D995_11_10 rep001 trilnormvex 2 2
D995_11_10 rep001 trilnormvex 3 2
D995_11_10 rep001 trilnormvex 50 3
D995_11_10 rep001 trilnormvex 5 2
D995_11_10 rep001 trilnormvex 75 3
D995_11_10 rep002 trilnormcave 100 3
D995_11_10 rep002 trilnormcave 10 3
D995_11_10 rep002 trilnormcave 1 1
D995_11_10 rep002 trilnormcave 218 3
D995_11_10 rep002 trilnormcave 25 4
D995_11_10 rep002 trilnormcave 2 2
D995_11_10 rep002 trilnormcave 3 2
D995_11_10 rep002 trilnormcave 50 3
D995_11_10 rep002 trilnormcave 5 2
D995_11_10 rep002 trilnorm 100 5
D995_11_10 rep002 trilnorm 10 4
D995_11_10 rep002 trilnorm 1 1
D995_11_10 rep002 trilnorm 218 6
D995_11_10 rep002 trilnorm 25 3
D995_11_10 rep002 trilnorm 2 2
D995_11_10 rep002 trilnorm 3 2
D995_11_10 rep002 trilnorm 50 5
D995_11_10 rep002 trilnorm 5 3
D995_11_10 rep002 trilnormvex 100 2
D995_11_10 rep002 trilnormvex 10 2
D995_11_10 rep002 trilnormvex 1 1
D995_11_10 rep002 trilnormvex 218 2
D995_11_10 rep002 trilnormvex 25 2
D995_11_10 rep002 trilnormvex 2 2
D995_11_10 rep002 trilnormvex 3 2
D995_11_10 rep002 trilnormvex 50 2
D995_11_10 rep002 trilnormvex 5 2
D995_11_10 rep002 trilnormvex 75 2
D995_11_10 rep003 trilnormcave 100 7
D995_11_10 rep003 trilnormcave 10 4
D995_11_10 rep003 trilnormcave 1 1
D995_11_10 rep003 trilnormcave 218 7
D995_11_10 rep003 trilnormcave 25 3
D995_11_10 rep003 trilnormcave 2 2
D995_11_10 rep003 trilnormcave 3 2
D995_11_10 rep003 trilnormcave 50 5
D995_11_10 rep003 trilnormcave 5 3
D995_11_10 rep003 trilnorm 100 3
D995_11_10 rep003 trilnorm 10 2
D995_11_10 rep003 trilnorm 1 1
D995_11_10 rep003 trilnorm 218 2
D995_11_10 rep003 trilnorm 25 4
D995_11_10 rep003 trilnorm 2 2
D995_11_10 rep003 trilnorm 3 2
D995_11_10 rep003 trilnorm 50 2
D995_11_10 rep003 trilnorm 5 2
D995_11_10 rep003 trilnormvex 100 4
D995_11_10 rep003 trilnormvex 10 3
D995_11_10 rep003 trilnormvex 1 1
D995_11_10 rep003 trilnormvex 218 5
D995_11_10 rep003 trilnormvex 25 3
D995_11_10 rep003 trilnormvex 2 2
D995_11_10 rep003 trilnormvex 3 2
D995_11_10 rep003 trilnormvex 50 4
D995_11_10 rep003 trilnormvex 5 3
D995_11_10 rep003 trilnormvex 75 3
D995_11_10 rep004 trilnormcave 100 3
D995_11_10 rep004 trilnormcave 10 2
D995_11_10 rep004 trilnormcave 1 1
D995_11_10 rep004 trilnormcave 218 3
D995_11_10 rep004 trilnormcave 25 3
D995_11_10 rep004 trilnormcave 2 2
D995_11_10 rep004 trilnormcave 3 2
D995_11_10 rep004 trilnormcave 50 3
D995_11_10 rep004 trilnormcave 5 2
D995_11_10 rep004 trilnorm 100 3
D995_11_10 rep004 trilnorm 10 3
D995_11_10 rep004 trilnorm 1 1
D995_11_10 rep004 trilnorm 218 3
D995_11_10 rep004 trilnorm 25 3
D995_11_10 rep004 trilnorm 2 2
D995_11_10 rep004 trilnorm 3 2
D995_11_10 rep004 trilnorm 50 3
D995_11_10 rep004 trilnorm 5 2
D995_11_10 rep004 trilnormvex 100 3
D995_11_10 rep004 trilnormvex 10 3
D995_11_10 rep004 trilnormvex 1 1
D995_11_10 rep004 trilnormvex 218 3
D995_11_10 rep004 trilnormvex 25 3
D995_11_10 rep004 trilnormvex 2 2
D995_11_10 rep004 trilnormvex 3 2
D995_11_10 rep004 trilnormvex 50 8
D995_11_10 rep004 trilnormvex 5 2
D995_11_10 rep004 trilnormvex 75 6
D995_11_10 rep005 trilnormcave 100 2
D995_11_10 rep005 trilnormcave 10 2
D995_11_10 rep005 trilnormcave 1 1
D995_11_10 rep005 trilnormcave 218 2
D995_11_10 rep005 trilnormcave 25 2
D995_11_10 rep005 trilnormcave 2 2
D995_11_10 rep005 trilnormcave 3 2
D995_11_10 rep005 trilnormcave 50 2
D995_11_10 rep005 trilnormcave 5 2
D995_11_10 rep005 trilnorm 100 2
D995_11_10 rep005 trilnorm 10 2
D995_11_10 rep005 trilnorm 1 1
D995_11_10 rep005 trilnorm 218 2
D995_11_10 rep005 trilnorm 25 2
D995_11_10 rep005 trilnorm 2 2
D995_11_10 rep005 trilnorm 3 2
D995_11_10 rep005 trilnorm 50 2
D995_11_10 rep005 trilnorm 5 2
D995_11_10 rep005 trilnormvex 100 2
D995_11_10 rep005 trilnormvex 10 2
D995_11_10 rep005 trilnormvex 1 1
D995_11_10 rep005 trilnormvex 218 2
D995_11_10 rep005 trilnormvex 25 2
D995_11_10 rep005 trilnormvex 2 2
D995_11_10 rep005 trilnormvex 3 2
D995_11_10 rep005 trilnormvex 50 2
D995_11_10 rep005 trilnormvex 5 2
D995_11_10 rep005 trilnormvex 75 2
D995_11_10 rep006 trilnormcave 100 2
D995_11_10 rep006 trilnormcave 10 2
D995_11_10 rep006 trilnormcave 1 1
D995_11_10 rep006 trilnormcave 218 2
D995_11_10 rep006 trilnormcave 25 2
D995_11_10 rep006 trilnormcave 2 2
D995_11_10 rep006 trilnormcave 3 2
D995_11_10 rep006 trilnormcave 50 2
D995_11_10 rep006 trilnormcave 5 2
D995_11_10 rep006 trilnorm 100 4
D995_11_10 rep006 trilnorm 10 3
D995_11_10 rep006 trilnorm 1 1
D995_11_10 rep006 trilnorm 218 5
D995_11_10 rep006 trilnorm 25 3
D995_11_10 rep006 trilnorm 2 2
D995_11_10 rep006 trilnorm 3 2
D995_11_10 rep006 trilnorm 50 4
D995_11_10 rep006 trilnorm 5 2
D995_11_10 rep006 trilnormvex 100 3
D995_11_10 rep006 trilnormvex 10 4
D995_11_10 rep006 trilnormvex 1 1
D995_11_10 rep006 trilnormvex 218 3
D995_11_10 rep006 trilnormvex 25 3
D995_11_10 rep006 trilnormvex 2 2
D995_11_10 rep006 trilnormvex 3 3
D995_11_10 rep006 trilnormvex 50 3
