scenario rep k nodeName trueNodeAge estNodeAge
scenario1 rep002 3 I61 31.807 42.8745
scenario1 rep002 3 I62 34.9944 46.9608
scenario1 rep002 3 I63 32.6694 43.1975
scenario1 rep002 3 I64 33.8687 43.5154
scenario1 rep002 3 I65 41.6289 59.4722
scenario1 rep002 3 I66 44.4088 59.7954
scenario1 rep002 3 I67 55.5269 66.2246
scenario1 rep002 3 I68 33.642 43.181
scenario1 rep002 3 I69 33.6432 43.4598
scenario1 rep002 3 I7 6.9627 9.8395
scenario1 rep002 3 I70 39.5374 53.313
scenario1 rep002 3 I71 41.25 57.5002
scenario1 rep002 3 I72 35.6755 43.7021
scenario1 rep002 3 I73 36.3187 43.9574
scenario1 rep002 3 I74 37.3101 44.5204
scenario1 rep002 3 I8 7.23236 10.1092
scenario1 rep002 3 I9 16.9771 10.4005
scenario1 rep003 3 I0 0 -76.6733
scenario1 rep003 3 I1 1.89772 -76.1254
scenario1 rep003 3 I10 24.4452 43.4693
scenario1 rep003 3 I11 8.33087 -48.2211
scenario1 rep003 3 I12 52.2788 32.9855
scenario1 rep003 3 I13 8.5159 -34.3111
scenario1 rep003 3 I14 36.5605 33.1041
scenario1 rep003 3 I15 9.61193 -4.9715
scenario1 rep003 3 I16 18.552 -0.3853
scenario1 rep003 3 I17 64.4724 46.0499
scenario1 rep003 3 I18 7.12688 -72.881
scenario1 rep003 3 I19 12.9639 -71.744
scenario1 rep003 3 I2 45.1116 70.7677
scenario1 rep003 3 I20 16.3031 -67.4585
scenario1 rep003 3 I21 24.8599 -63.368
scenario1 rep003 3 I22 30.0471 -40.5566
scenario1 rep003 3 I23 32.4873 -39.9378
scenario1 rep003 3 I24 31.6844 16.8541
scenario1 rep003 3 I25 33.9221 50.2507
scenario1 rep003 3 I26 37.7111 51.8172
scenario1 rep003 3 I27 39.3061 52.3941
scenario1 rep003 3 I28 49.2904 58.016
scenario1 rep003 3 I29 54.541 66.3187
scenario1 rep003 3 I3 53.1728 72.3367
scenario1 rep003 3 I30 8.64398 -72.2093
scenario1 rep003 3 I31 18.7662 16.701
scenario1 rep003 3 I32 20.3792 17.6467
scenario1 rep003 3 I33 39.6276 39.9694
scenario1 rep003 3 I34 15.3699 13.8675
scenario1 rep003 3 I35 16.5318 14.3651
scenario1 rep003 3 I36 17.1885 13.9253
scenario1 rep003 3 I37 18.0794 14.0281
scenario1 rep003 3 I38 24.2807 15.3134
scenario1 rep003 3 I39 25.3912 15.4576
scenario1 rep003 3 I4 4.29313 -73.4148
scenario1 rep003 3 I40 26.2688 15.5717
scenario1 rep003 3 I41 27.3794 15.9287
scenario1 rep003 3 I42 33.9127 16.9279
scenario1 rep003 3 I43 41.7203 20.5093
scenario1 rep003 3 I44 43.2265 20.8775
scenario1 rep003 3 I45 48.2767 21.5197
scenario1 rep003 3 I46 56.6923 55.9772
scenario1 rep003 3 I47 76.9586 85.5817
scenario1 rep003 3 I48 79.3105 87.4084
scenario1 rep003 3 I49 52.3546 22.4345
scenario1 rep003 3 I5 9.33696 -14.8264
scenario1 rep003 3 I50 58.469 26.0189
scenario1 rep003 3 I51 83.0134 29.2474
scenario1 rep003 3 I52 83.4521 29.2484
scenario1 rep003 3 I53 83.7694 29.3573
scenario1 rep003 3 I54 87.5096 29.767
scenario1 rep003 3 I55 26.0402 15.918
scenario1 rep003 3 I56 26.8496 25.8307
scenario1 rep003 3 I57 28.4881 26.7293
scenario1 rep003 3 I58 45.7523 67.074
scenario1 rep003 3 I59 89.2963 133.9775
scenario1 rep003 3 I6 33.1967 18.8203
scenario1 rep003 3 I60 31.2313 35.1769
scenario1 rep003 3 I61 31.807 35.6854
scenario1 rep003 3 I62 34.9944 38.3839
scenario1 rep003 3 I63 32.6694 37.0523
scenario1 rep003 3 I64 33.8687 40.7894
scenario1 rep003 3 I65 41.6289 41.7992
scenario1 rep003 3 I66 44.4088 43.0867
scenario1 rep003 3 I67 55.5269 44.6244
scenario1 rep003 3 I68 33.642 39.5356
scenario1 rep003 3 I69 33.6432 40.2675
scenario1 rep003 3 I7 6.9627 -73.0776
scenario1 rep003 3 I70 39.5374 61.001
scenario1 rep003 3 I71 41.25 63.3986
scenario1 rep003 3 I72 35.6755 40.5787
scenario1 rep003 3 I73 36.3187 41.2975
scenario1 rep003 3 I74 37.3101 41.506
scenario1 rep003 3 I8 7.23236 -58.3847
scenario1 rep003 3 I9 16.9771 -5.9766
scenario1 rep004 3 I0 0 5.2136
scenario1 rep004 3 I1 1.89772 5.6496
scenario1 rep004 3 I10 24.4452 87.0411
scenario1 rep004 3 I11 8.33087 8.3635
scenario1 rep004 3 I12 52.2788 48.0731
scenario1 rep004 3 I13 8.5159 8.6322
scenario1 rep004 3 I14 36.5605 32.9881
