scenario method rep error
scenario1 BEAST_rcla rep001 0.17095
scenario1 BEAST_lnorm rep001 0.61089
scenario1 BEAST_strict rep001 0.988508
scenario1 BEAST_rcla rep002 0.650457
scenario1 BEAST_lnorm rep002 0.641777
scenario1 BEAST_strict rep002 1.09575
scenario1 BEAST_rcla rep003 0.633419
scenario1 BEAST_lnorm rep003 0.620627
scenario1 BEAST_strict rep003 0.973949
scenario1 BEAST_rcla rep004 0.639171
scenario1 BEAST_lnorm rep004 0.567902
scenario1 BEAST_strict rep004 0.940063
scenario1 BEAST_rcla rep005 0.692864
scenario1 BEAST_lnorm rep005 0.704656
scenario1 BEAST_strict rep005 1.00918
scenario1 BEAST_rcla rep006 0.631398
scenario1 BEAST_lnorm rep006 0.604648
scenario1 BEAST_strict rep006 0.98519
scenario1 BEAST_rcla rep007 0.652949
scenario1 BEAST_lnorm rep007 0.625809
scenario1 BEAST_strict rep007 0.968864
scenario1 BEAST_rcla rep008 0.595129
scenario1 BEAST_lnorm rep008 0.597074
scenario1 BEAST_strict rep008 0.988684
scenario1 BEAST_rcla rep009 0.698776
scenario1 BEAST_lnorm rep009 0.628436
scenario1 BEAST_strict rep009 1.0278
scenario1 BEAST_rcla rep010 0.666418
scenario1 BEAST_lnorm rep010 0.639769
scenario1 BEAST_strict rep010 0.972162
scenario1 BEAST_rcla rep011 0.652071
scenario1 BEAST_lnorm rep011 0.597105
scenario1 BEAST_strict rep011 0.918843
scenario1 BEAST_rcla rep012 0.671876
scenario1 BEAST_lnorm rep012 0.657123
scenario1 BEAST_strict rep012 1.57811
scenario1 BEAST_rcla rep013 0.656655
scenario1 BEAST_lnorm rep013 0.607843
scenario1 BEAST_strict rep013 0.95338
scenario1 BEAST_rcla rep014 0.670331
scenario1 BEAST_lnorm rep014 0.629086
scenario1 BEAST_strict rep014 1.01007
scenario1 BEAST_rcla rep015 0.689632
scenario1 BEAST_lnorm rep015 0.672054
scenario1 BEAST_strict rep015 1.11881
scenario1 BEAST_rcla rep016 0.775733
scenario1 BEAST_lnorm rep016 0.5979
scenario1 BEAST_strict rep016 0.976818
scenario1 BEAST_rcla rep017 0.558992
scenario1 BEAST_lnorm rep017 0.609068
scenario1 BEAST_strict rep017 1.00271
scenario1 BEAST_rcla rep018 0.684834
scenario1 BEAST_lnorm rep018 0.650277
scenario1 BEAST_strict rep018 3.49498
scenario1 BEAST_rcla rep019 0.723699
scenario1 BEAST_lnorm rep019 0.630672
scenario1 BEAST_strict rep019 1.04243
scenario1 BEAST_rcla rep020 0.693126
scenario1 BEAST_lnorm rep020 0.654994
scenario1 BEAST_strict rep020 1.00696
scenario1 BEAST_rcla rep021 0.664878
scenario1 BEAST_lnorm rep021 0.669323
scenario1 BEAST_strict rep021 0.970092
scenario1 BEAST_rcla rep022 0.594832
scenario1 BEAST_lnorm rep022 0.565612
scenario1 BEAST_strict rep022 0.944932
scenario1 BEAST_rcla rep023 0.597084
scenario1 BEAST_lnorm rep023 0.614699
scenario1 BEAST_strict rep023 0.928208
scenario1 BEAST_rcla rep024 0.627222
scenario1 BEAST_lnorm rep024 0.586717
scenario1 BEAST_strict rep024 0.960635
scenario1 BEAST_rcla rep025 0.624264
scenario1 BEAST_lnorm rep025 0.584442
scenario1 BEAST_strict rep025 0.831797
scenario1 BEAST_rcla rep026 0.621242
scenario1 BEAST_lnorm rep026 0.583522
scenario1 BEAST_strict rep026 0.985387
scenario1 BEAST_rcla rep027 0.67353
scenario1 BEAST_lnorm rep027 0.612244
scenario1 BEAST_strict rep027 0.96332
scenario1 BEAST_rcla rep028 0.603218
scenario1 BEAST_lnorm rep028 0.590167
scenario1 BEAST_strict rep028 1.00063
scenario1 BEAST_rcla rep029 0.668118
scenario1 BEAST_lnorm rep029 0.56706
