clockModel rep method brName estLength trueLength
scenario1 rep001 BEAST_rcla I55 2.7931 0.649031
scenario1 rep001 BEAST_rcla I56 2.7346 0.809405
scenario1 rep001 BEAST_rcla I57 6.3908 1.6385
scenario1 rep001 BEAST_rcla I58 2.5968 17.2643
scenario1 rep001 BEAST_rcla I59 35.0861 43.5441
scenario1 rep001 BEAST_rcla I6 29.3143 19.6967
scenario1 rep001 BEAST_rcla I60 1.7443 4.38172
scenario1 rep001 BEAST_rcla I61 6.3743 0.575665
scenario1 rep001 BEAST_rcla I62 3.9004 3.18741
scenario1 rep001 BEAST_rcla I63 3.7494 0.862363
scenario1 rep001 BEAST_rcla I64 4.4224 1.1993
scenario1 rep001 BEAST_rcla I65 6.8509 7.76023
scenario1 rep001 BEAST_rcla I66 7.2908 2.77986
scenario1 rep001 BEAST_rcla I67 8.5336 11.1181
scenario1 rep001 BEAST_rcla I68 1.6406 2.41062
scenario1 rep001 BEAST_rcla I69 1.3377 0.00128
scenario1 rep001 BEAST_rcla I7 5.5886 2.66957
scenario1 rep001 BEAST_rcla I70 17.3032 5.89418
scenario1 rep001 BEAST_rcla I71 7.6171 1.71254
scenario1 rep001 BEAST_rcla I72 1.5068 2.03222
scenario1 rep001 BEAST_rcla I73 2.9786 0.643278
scenario1 rep001 BEAST_rcla I74 1.3305 0.991321
scenario1 rep001 BEAST_rcla I8 1.7366 0.269661
scenario1 rep001 BEAST_rcla I9 16.1922 9.74474
scenario1 rep001 BEAST_rcla Ilex 66.4823 66.5
scenario1 rep001 BEAST_rcla Illicium 97.1921 106.803
scenario1 rep001 BEAST_rcla Itea 65.9002 50.7034
scenario1 rep001 BEAST_rcla Japonolirion 116.3035 115.14
scenario1 rep001 BEAST_rcla Lilium 113.3828 108.316
scenario1 rep001 BEAST_rcla Liquidambar 100.9864 94.2475
scenario1 rep001 BEAST_rcla Liriodendron 95.9541 87.7211
scenario1 rep001 BEAST_rcla Lonicera 10.0387 52.4904
scenario1 rep001 BEAST_rcla Magnolia 95.9541 87.7211
scenario1 rep001 BEAST_rcla Mauldinia 1.1524 2.33954
scenario1 rep001 BEAST_rcla Meliosma 118.3729 123.468
scenario1 rep001 BEAST_rcla Morus 100.7658 103.681
scenario1 rep001 BEAST_rcla Musa 84.537 90.7097
scenario1 rep001 BEAST_rcla Myrtales 10.4512 17.7056
scenario1 rep001 BEAST_rcla Nelumbo 107.5071 107.3
scenario1 rep001 BEAST_rcla Nerium 55.2857 63.0414
scenario1 rep001 BEAST_rcla Nicotiana 52.292 60.6895
scenario1 rep001 BEAST_rcla Nuphar 93.4444 86.8275
scenario1 rep001 BEAST_rcla Nymphaea 93.4444 86.8273
scenario1 rep001 BEAST_rcla Orontium 113.4868 113.5
scenario1 rep001 BEAST_rcla Oryza 82.8538 85.4591
scenario1 rep001 BEAST_rcla Oxalis 80.331 98.75
scenario1 rep001 BEAST_rcla Pachysandra 120.6662 121.921
scenario1 rep001 BEAST_rcla Pandanus 110.9369 107.513
scenario1 rep001 BEAST_rcla Papaver 117.7473 119.621
scenario1 rep001 BEAST_rcla Paracryphia 10.0387 52.4904
scenario1 rep001 BEAST_rcla Parnassia 80.331 98.7501
scenario1 rep001 BEAST_rcla Pelargonium 97.9548 105.006
scenario1 rep001 BEAST_rcla Persea 101.4526 101.1
scenario1 rep001 BEAST_rcla Picramnia 93.6834 106.131
scenario1 rep001 BEAST_rcla Piper 66.061 75.5275
scenario1 rep001 BEAST_rcla Pisum 103.7445 104.325
scenario1 rep001 BEAST_rcla Platanus 107.5071 107.3
scenario1 rep001 BEAST_rcla Populus 87.948 100.463
scenario1 rep001 BEAST_rcla Pterostemon 65.9002 50.7034
scenario1 rep001 BEAST_rcla Sapindopsis 10.8658 16.1682
