scenario rep method norm_rmse
scenario2 rep074 RelTime 0.113852
scenario2 rep074 MD-Cat 0.0749793
scenario2 rep074 wLogDate 0.251004
scenario2 rep074 Blnorm 0.214308
scenario2 rep075 RelTime 0.116671
scenario2 rep075 MD-Cat 0.132141
scenario2 rep075 wLogDate 0.281685
scenario2 rep075 Blnorm 0.1996
scenario2 rep076 RelTime 0.124434
scenario2 rep076 MD-Cat 0.130601
scenario2 rep076 wLogDate 0.371867
scenario2 rep076 Blnorm 0.202816
scenario2 rep077 RelTime 0.124484
scenario2 rep077 MD-Cat 0.0997579
scenario2 rep077 wLogDate 0.473335
scenario2 rep077 Blnorm 0.196127
scenario2 rep078 RelTime 0.13131
scenario2 rep078 MD-Cat 0.149324
scenario2 rep078 wLogDate 0.315338
scenario2 rep078 Blnorm 0.268597
scenario2 rep079 RelTime 0.160474
scenario2 rep079 MD-Cat 0.154028
scenario2 rep079 wLogDate 0.472221
scenario2 rep079 Blnorm 0.219125
scenario2 rep080 RelTime 0.129791
scenario2 rep080 MD-Cat 0.17496
scenario2 rep080 wLogDate 0.332268
scenario2 rep080 Blnorm 0.202316
scenario2 rep081 RelTime 0.135397
scenario2 rep081 MD-Cat 0.157571
scenario2 rep081 wLogDate 0.657209
scenario2 rep081 Blnorm 0.16922
scenario2 rep082 RelTime 0.122159
scenario2 rep082 MD-Cat 0.09641
scenario2 rep082 wLogDate 0.243621
scenario2 rep082 Blnorm 0.195449
scenario2 rep083 RelTime 0.131902
scenario2 rep083 MD-Cat 0.12355
scenario2 rep083 wLogDate 0.246587
scenario2 rep083 Blnorm 0.16714
scenario2 rep084 RelTime 0.0959021
scenario2 rep084 MD-Cat 0.159137
scenario2 rep084 wLogDate 0.368269
scenario2 rep084 Blnorm 0.196994
scenario2 rep085 RelTime 0.118539
scenario2 rep085 MD-Cat 0.182878
scenario2 rep085 wLogDate 0.429672
scenario2 rep085 Blnorm 0.192072
scenario2 rep086 RelTime 0.117341
scenario2 rep086 MD-Cat 0.155254
scenario2 rep086 wLogDate 0.492906
scenario2 rep086 Blnorm 0.222348
scenario2 rep087 RelTime 0.112692
scenario2 rep087 MD-Cat 0.133886
scenario2 rep087 wLogDate 0.346285
scenario2 rep087 Blnorm 0.282181
scenario2 rep088 RelTime 0.126251
scenario2 rep088 MD-Cat 0.141925
scenario2 rep088 wLogDate 0.369864
scenario2 rep088 Blnorm 0.20248
scenario2 rep089 RelTime 0.107292
scenario2 rep089 MD-Cat 0.111483
scenario2 rep089 wLogDate 0.331887
scenario2 rep089 Blnorm 0.247564
scenario2 rep090 RelTime 0.12657
scenario2 rep090 MD-Cat 0.185059
scenario2 rep090 wLogDate 0.297569
scenario2 rep090 Blnorm 0.38686
scenario2 rep091 RelTime 0.114845
scenario2 rep091 MD-Cat 0.156182
scenario2 rep091 wLogDate 0.754507
scenario2 rep091 Blnorm 0.28545
scenario2 rep092 RelTime 0.103658
scenario2 rep092 MD-Cat 0.107401
scenario2 rep092 wLogDate 0.332216
scenario2 rep092 Blnorm 0.207991
scenario2 rep093 RelTime 0.11846
scenario2 rep093 MD-Cat 0.146989
scenario2 rep093 wLogDate 0.226689
scenario2 rep093 Blnorm 0.178573
scenario2 rep094 RelTime 0.116924
scenario2 rep094 MD-Cat 0.13754
scenario2 rep094 wLogDate 0.272309
scenario2 rep094 Blnorm 0.187261
scenario2 rep095 RelTime 0.161415
scenario2 rep095 MD-Cat 0.447246
scenario2 rep095 wLogDate 0.393752
scenario2 rep095 Blnorm 0.197486
scenario2 rep096 RelTime 0.114527
scenario2 rep096 MD-Cat 0.123438
scenario2 rep096 wLogDate 0.232705
scenario2 rep096 Blnorm 0.278654
scenario2 rep097 RelTime 0.135219
scenario2 rep097 MD-Cat 0.150875
scenario2 rep097 wLogDate 0.263304
scenario2 rep097 Blnorm 0.14822
scenario2 rep098 RelTime 0.106674
scenario2 rep098 MD-Cat 0.148058
scenario2 rep098 wLogDate 0.224496
scenario2 rep098 Blnorm 0.154384
scenario2 rep099 RelTime 0.116503
scenario2 rep099 MD-Cat 0.142014
scenario2 rep099 wLogDate 0.400489
scenario2 rep099 Blnorm 0.172461
scenario2 rep100 RelTime 0.119996
scenario2 rep100 MD-Cat 0.120669
scenario2 rep100 wLogDate 0.692459
scenario2 rep100 Blnorm 0.177724
scenario3 rep001 RelTime 0.0962986
scenario3 rep001 MD-Cat 0.117016
scenario3 rep001 wLogDate 0.196764
scenario3 rep001 Blnorm 0.159806
scenario3 rep002 RelTime 0.0941079
scenario3 rep002 MD-Cat 0.149678
scenario3 rep002 wLogDate 0.0928064
scenario3 rep002 Blnorm 0.188337
scenario3 rep003 RelTime 0.114365
scenario3 rep003 MD-Cat 0.154764
scenario3 rep003 wLogDate 0.142701
scenario3 rep003 Blnorm 0.138502
scenario3 rep004 RelTime 0.110744
scenario3 rep004 MD-Cat 0.0832793
scenario3 rep004 wLogDate 0.144048
scenario3 rep004 Blnorm 0.155706
scenario3 rep005 RelTime 0.138455
scenario3 rep005 MD-Cat 0.147284
scenario3 rep005 wLogDate 0.163985
scenario3 rep005 Blnorm 0.120239
scenario3 rep006 RelTime 0.113389
scenario3 rep006 MD-Cat 0.136365
scenario3 rep006 wLogDate 0.326949
scenario3 rep006 Blnorm 0.127428
scenario3 rep007 RelTime 0.110049
scenario3 rep007 MD-Cat 0.17206
scenario3 rep007 wLogDate 0.313125
scenario3 rep007 Blnorm 0.159011
scenario3 rep008 RelTime 0.126794
scenario3 rep008 MD-Cat 0.107534
scenario3 rep008 wLogDate 0.149459
scenario3 rep008 Blnorm 0.151252
scenario3 rep009 RelTime 0.117816
scenario3 rep009 MD-Cat 0.137434
scenario3 rep009 wLogDate 0.383969
scenario3 rep009 Blnorm 0.143461
scenario3 rep010 RelTime 0.104274
scenario3 rep010 MD-Cat 0.177311
scenario3 rep010 wLogDate 0.187451
scenario3 rep010 Blnorm 0.201173
scenario3 rep011 RelTime 0.130501
scenario3 rep011 MD-Cat 0.156216
scenario3 rep011 wLogDate 0.173928
scenario3 rep011 Blnorm 0.150344
scenario3 rep012 RelTime 0.102373
scenario3 rep012 MD-Cat 0.13935
scenario3 rep012 wLogDate 0.301511
scenario3 rep012 Blnorm 0.198231
scenario3 rep013 RelTime 0.125234
scenario3 rep013 MD-Cat 0.149174
scenario3 rep013 wLogDate 0.127691
scenario3 rep013 Blnorm 0.13848
scenario3 rep014 RelTime 0.127188
scenario3 rep014 MD-Cat 0.0977414
scenario3 rep014 wLogDate 0.240395
scenario3 rep014 Blnorm 0.119431
scenario3 rep015 RelTime 0.119141
scenario3 rep015 MD-Cat 0.132866
scenario3 rep015 wLogDate 0.258431
scenario3 rep015 Blnorm 0.184709
scenario3 rep016 RelTime 0.132586
scenario3 rep016 MD-Cat 0.128032
scenario3 rep016 wLogDate 0.231477
scenario3 rep016 Blnorm 0.134191
scenario3 rep017 RelTime 0.099305
scenario3 rep017 MD-Cat 0.105939
scenario3 rep017 wLogDate 0.144738
scenario3 rep017 Blnorm 0.106851
scenario3 rep018 RelTime 0.0942186
scenario3 rep018 MD-Cat 0.102249
scenario3 rep018 wLogDate 0.128866
scenario3 rep018 Blnorm 0.134072
scenario3 rep019 RelTime 0.103079
scenario3 rep019 MD-Cat 0.115554
scenario3 rep019 wLogDate 0.268566
scenario3 rep019 Blnorm 0.165269
scenario3 rep020 RelTime 0.107221
scenario3 rep020 MD-Cat 0.136536
scenario3 rep020 wLogDate 0.128102
scenario3 rep020 Blnorm 0.138936
scenario3 rep021 RelTime 0.103528
scenario3 rep021 MD-Cat 0.148326
scenario3 rep021 wLogDate 0.42758
scenario3 rep021 Blnorm 0.142831
scenario3 rep022 RelTime 0.112119
scenario3 rep022 MD-Cat 0.150938
scenario3 rep022 wLogDate 0.239417
scenario3 rep022 Blnorm 0.155365
scenario3 rep023 RelTime 0.105854
scenario3 rep023 MD-Cat 0.103095
scenario3 rep023 wLogDate 0.124679
scenario3 rep023 Blnorm 0.109751
scenario3 rep024 RelTime 0.125189
scenario3 rep024 MD-Cat 0.0907614
scenario3 rep024 wLogDate 0.112684
scenario3 rep024 Blnorm 0.131976
scenario3 rep025 RelTime 0.101389
scenario3 rep025 MD-Cat 0.10726
scenario3 rep025 wLogDate 0.190373
scenario3 rep025 Blnorm 0.153477
scenario3 rep026 RelTime 0.102581
scenario3 rep026 MD-Cat 0.109781
scenario3 rep026 wLogDate 0.207176
scenario3 rep026 Blnorm 0.205097
scenario3 rep027 RelTime 0.0939586
scenario3 rep027 MD-Cat 0.147999
scenario3 rep027 wLogDate 0.186449
scenario3 rep027 Blnorm 0.139161
scenario3 rep028 RelTime 0.12392
scenario3 rep028 MD-Cat 0.0951821
scenario3 rep028 wLogDate 0.113729
scenario3 rep028 Blnorm 0.105392
scenario3 rep029 RelTime 0.126865
scenario3 rep029 MD-Cat 0.161663
scenario3 rep029 wLogDate 0.27369
scenario3 rep029 Blnorm 0.13086
scenario3 rep030 RelTime 0.112437
scenario3 rep030 MD-Cat 0.164974
scenario3 rep030 wLogDate 0.262592
scenario3 rep030 Blnorm 0.154965
scenario3 rep031 RelTime 0.109742
scenario3 rep031 MD-Cat 0.160775
scenario3 rep031 wLogDate 0.195526
scenario3 rep031 Blnorm 0.156845
scenario3 rep032 RelTime 0.138536
scenario3 rep032 MD-Cat 0.180801
scenario3 rep032 wLogDate 0.201567
scenario3 rep032 Blnorm 0.139579
scenario3 rep033 RelTime 0.136957
scenario3 rep033 MD-Cat 0.111142
scenario3 rep033 wLogDate 0.192474
scenario3 rep033 Blnorm 0.137957
scenario3 rep034 RelTime 0.131361
scenario3 rep034 MD-Cat 0.124904
scenario3 rep034 wLogDate 0.148055
scenario3 rep034 Blnorm 0.143859
scenario3 rep035 RelTime 0.105115
scenario3 rep035 MD-Cat 0.12886
scenario3 rep035 wLogDate 0.12552
scenario3 rep035 Blnorm 0.125756
scenario3 rep036 RelTime 0.0885764
scenario3 rep036 MD-Cat 0.125906
scenario3 rep036 wLogDate 0.15243
scenario3 rep036 Blnorm 0.136514
scenario3 rep037 RelTime 0.078265
scenario3 rep037 MD-Cat 0.108066
scenario3 rep037 wLogDate 0.158045
scenario3 rep037 Blnorm 0.136166
scenario3 rep038 RelTime 0.104611
scenario3 rep038 MD-Cat 0.125193
scenario3 rep038 wLogDate 0.134919
scenario3 rep038 Blnorm 0.14385
scenario3 rep039 RelTime 0.0816107
scenario3 rep039 MD-Cat 0.0763071
scenario3 rep039 wLogDate 0.200643
scenario3 rep039 Blnorm 0.144127
scenario3 rep040 RelTime 0.115748
scenario3 rep040 MD-Cat 0.127044
scenario3 rep040 wLogDate 0.167741
scenario3 rep040 Blnorm 0.15489
scenario3 rep041 RelTime 0.116506
scenario3 rep041 MD-Cat 0.128315
scenario3 rep041 wLogDate 0.967521
scenario3 rep041 Blnorm 0.120729
scenario3 rep042 RelTime 0.105349
scenario3 rep042 MD-Cat 0.111393
scenario3 rep042 wLogDate 0.157519
scenario3 rep042 Blnorm 0.125999
scenario3 rep043 RelTime 0.0914114
scenario3 rep043 MD-Cat 0.142562
scenario3 rep043 wLogDate 0.144304
scenario3 rep043 Blnorm 0.126159
scenario3 rep044 RelTime 0.0941371
scenario3 rep044 MD-Cat 0.104596
scenario3 rep044 wLogDate 0.22225
scenario3 rep044 Blnorm 0.138891
scenario3 rep045 RelTime 0.07685
scenario3 rep045 MD-Cat 0.076095
scenario3 rep045 wLogDate 0.266699
scenario3 rep045 Blnorm 0.138287
scenario3 rep046 RelTime 0.10672
scenario3 rep046 MD-Cat 0.139196
scenario3 rep046 wLogDate 0.196621
scenario3 rep046 Blnorm 0.140571
scenario3 rep047 RelTime 0.0938414
scenario3 rep047 MD-Cat 0.104938
scenario3 rep047 wLogDate 0.150245
scenario3 rep047 Blnorm 0.123601
scenario3 rep048 RelTime 0.127783
scenario3 rep048 MD-Cat 0.132286
scenario3 rep048 wLogDate 0.15125
scenario3 rep048 Blnorm 0.127534
scenario3 rep049 RelTime 0.097865
scenario3 rep049 MD-Cat 0.154214
scenario3 rep049 wLogDate 0.214361
scenario3 rep049 Blnorm 0.157806
scenario3 rep050 RelTime 0.09119
scenario3 rep050 MD-Cat 0.120132
scenario3 rep050 wLogDate 0.114446
scenario3 rep050 Blnorm 0.191654
scenario3 rep051 RelTime 0.0968371
scenario3 rep051 MD-Cat 0.0723321
scenario3 rep051 wLogDate 0.680462
scenario3 rep051 Blnorm 0.114636
scenario3 rep052 RelTime 0.114705
scenario3 rep052 MD-Cat 0.129391
scenario3 rep052 wLogDate 0.19411
scenario3 rep052 Blnorm 0.129761
scenario3 rep053 RelTime 0.109524
scenario3 rep053 MD-Cat 0.129083
scenario3 rep053 wLogDate 0.201044
scenario3 rep053 Blnorm 0.138555
scenario3 rep054 RelTime 0.102474
scenario3 rep054 MD-Cat 0.111007
scenario3 rep054 wLogDate 0.160157
scenario3 rep054 Blnorm 0.132291
scenario3 rep055 RelTime 0.121981
scenario3 rep055 MD-Cat 0.140581
scenario3 rep055 wLogDate 0.136943
scenario3 rep055 Blnorm 0.154179
scenario3 rep056 RelTime 0.0979793
scenario3 rep056 MD-Cat 0.104351
scenario3 rep056 wLogDate 0.177915
scenario3 rep056 Blnorm 0.161729
scenario3 rep057 RelTime 0.0948793
scenario3 rep057 MD-Cat 0.124888
scenario3 rep057 wLogDate 0.138714
scenario3 rep057 Blnorm 0.132569
scenario3 rep058 RelTime 0.0961593
scenario3 rep058 MD-Cat 0.160114
scenario3 rep058 wLogDate 0.146686
scenario3 rep058 Blnorm 0.155661
scenario3 rep059 RelTime 0.100083
scenario3 rep059 MD-Cat 0.09171
scenario3 rep059 wLogDate 0.11112
scenario3 rep059 Blnorm 0.136131
scenario3 rep060 RelTime 0.110154
scenario3 rep060 MD-Cat 0.134126
scenario3 rep060 wLogDate 0.355271
scenario3 rep060 Blnorm 0.15809
scenario3 rep061 RelTime 0.0954086
scenario3 rep061 MD-Cat 0.153697
scenario3 rep061 wLogDate 0.249776
scenario3 rep061 Blnorm 0.188151
scenario3 rep062 RelTime 0.118984
scenario3 rep062 MD-Cat 0.122952
scenario3 rep062 wLogDate 0.161783
scenario3 rep062 Blnorm 0.139563
scenario3 rep063 RelTime 0.104451
scenario3 rep063 MD-Cat 0.0922614
scenario3 rep063 wLogDate 0.187296
scenario3 rep063 Blnorm 0.105568
scenario3 rep064 RelTime 0.11534
scenario3 rep064 MD-Cat 0.0711196
scenario3 rep064 wLogDate 0.129159
scenario3 rep064 Blnorm 0.138284
scenario3 rep065 RelTime 0.124795
scenario3 rep065 MD-Cat 0.128901
scenario3 rep065 wLogDate 0.180576
scenario3 rep065 Blnorm 0.133727
scenario3 rep066 RelTime 0.102927
scenario3 rep066 MD-Cat 0.0740371
scenario3 rep066 wLogDate 0.247803
scenario3 rep066 Blnorm 0.110185
scenario3 rep067 RelTime 0.119201
scenario3 rep067 MD-Cat 0.153881
scenario3 rep067 wLogDate 0.10059
scenario3 rep067 Blnorm 0.131079
scenario3 rep068 RelTime 0.104788
scenario3 rep068 MD-Cat 0.147737
scenario3 rep068 wLogDate 0.335324
scenario3 rep068 Blnorm 0.140766
scenario3 rep069 RelTime 0.121681
scenario3 rep069 MD-Cat 0.141716
scenario3 rep069 wLogDate 0.324831
scenario3 rep069 Blnorm 0.159682
scenario3 rep070 RelTime 0.112102
scenario3 rep070 MD-Cat 0.125108
scenario3 rep070 wLogDate 0.174809
scenario3 rep070 Blnorm 0.109945
scenario3 rep071 RelTime 0.128209
scenario3 rep071 MD-Cat 0.111948
scenario3 rep071 wLogDate 0.12859
scenario3 rep071 Blnorm 0.120191
scenario3 rep072 RelTime 0.108574
scenario3 rep072 MD-Cat 0.151838
scenario3 rep072 wLogDate 0.347953
scenario3 rep072 Blnorm 0.146492
scenario3 rep073 RelTime 0.101244
scenario3 rep073 MD-Cat 0.136814
scenario3 rep073 wLogDate 0.135604
scenario3 rep073 Blnorm 0.131942
scenario3 rep074 RelTime 0.0521556
scenario3 rep074 MD-Cat 0.0855736
scenario3 rep074 wLogDate 0.344199
scenario3 rep074 Blnorm 0.169361
scenario3 rep075 RelTime 0.194414
scenario3 rep075 MD-Cat 0.114367
scenario3 rep075 wLogDate 0.141801
scenario3 rep075 Blnorm 0.112463
scenario3 rep076 RelTime 0.11664
scenario3 rep076 MD-Cat 0.152322
scenario3 rep076 wLogDate 0.223202
scenario3 rep076 Blnorm 0.160056
scenario3 rep077 RelTime 0.0976907
scenario3 rep077 MD-Cat 0.103771
scenario3 rep077 wLogDate 0.291596
scenario3 rep077 Blnorm 0.171204
scenario3 rep078 RelTime 0.0986336
scenario3 rep078 MD-Cat 0.147239
scenario3 rep078 wLogDate 0.172199
scenario3 rep078 Blnorm 0.183451
scenario3 rep079 RelTime 0.137117
scenario3 rep079 MD-Cat 0.167691
scenario3 rep079 wLogDate 0.130623
scenario3 rep079 Blnorm 0.132642
scenario3 rep080 RelTime 0.0938714
scenario3 rep080 MD-Cat 0.114074
scenario3 rep080 wLogDate 0.165189
scenario3 rep080 Blnorm 0.132356
scenario3 rep081 RelTime 0.0980479
scenario3 rep081 MD-Cat 0.116817
scenario3 rep081 wLogDate 0.163089
scenario3 rep081 Blnorm 0.114181
scenario3 rep082 RelTime 0.0966443
scenario3 rep082 MD-Cat 0.127686
scenario3 rep082 wLogDate 0.212842
scenario3 rep082 Blnorm 0.181795
scenario3 rep083 RelTime 0.108915
scenario3 rep083 MD-Cat 0.122552
scenario3 rep083 wLogDate 0.154293
scenario3 rep083 Blnorm 0.135184
scenario3 rep084 RelTime 0.0839136
scenario3 rep084 MD-Cat 0.0846836
scenario3 rep084 wLogDate 0.173237
scenario3 rep084 Blnorm 0.0942636
scenario3 rep085 RelTime 0.0904264
scenario3 rep085 MD-Cat 0.100983
scenario3 rep085 wLogDate 0.143435
scenario3 rep085 Blnorm 0.16352
scenario3 rep086 RelTime 0.0997771
scenario3 rep086 MD-Cat 0.108587
scenario3 rep086 wLogDate 0.253838
scenario3 rep086 Blnorm 0.164251
scenario3 rep087 RelTime 0.119198
scenario3 rep087 MD-Cat 0.160064
scenario3 rep087 wLogDate 0.158434
scenario3 rep087 Blnorm 0.134891
scenario3 rep088 RelTime 0.145162
scenario3 rep088 MD-Cat 0.107106
scenario3 rep088 wLogDate 0.204106
scenario3 rep088 Blnorm 0.108003
scenario3 rep089 RelTime 0.128417
scenario3 rep089 MD-Cat 0.137366
scenario3 rep089 wLogDate 0.116509
scenario3 rep089 Blnorm 0.149896
scenario3 rep090 RelTime 0.103176
scenario3 rep090 MD-Cat 0.122581
scenario3 rep090 wLogDate 0.362365
scenario3 rep090 Blnorm 0.164639
scenario3 rep091 RelTime 0.0864957
scenario3 rep091 MD-Cat 0.0870314
scenario3 rep091 wLogDate 0.15421
scenario3 rep091 Blnorm 0.135663
scenario3 rep092 RelTime 0.102988
scenario3 rep092 MD-Cat 0.0853807
scenario3 rep092 wLogDate 0.139616
scenario3 rep092 Blnorm 0.11031
scenario3 rep093 RelTime 0.100648
scenario3 rep093 MD-Cat 0.149632
scenario3 rep093 wLogDate 0.187409
scenario3 rep093 Blnorm 0.141483
scenario3 rep094 RelTime 0.117949
scenario3 rep094 MD-Cat 0.121629
scenario3 rep094 wLogDate 0.178309
scenario3 rep094 Blnorm 0.140669
scenario3 rep095 RelTime 0.112133
scenario3 rep095 MD-Cat 0.140417
scenario3 rep095 wLogDate 0.255444
scenario3 rep095 Blnorm 0.170456
scenario3 rep096 RelTime 0.113643
scenario3 rep096 MD-Cat 0.134826
scenario3 rep096 wLogDate 0.101141
scenario3 rep096 Blnorm 0.156852
scenario3 rep097 RelTime 0.103321
scenario3 rep097 MD-Cat 0.132362
scenario3 rep097 wLogDate 0.190156
scenario3 rep097 Blnorm 0.138625
scenario3 rep098 RelTime 0.119819
scenario3 rep098 MD-Cat 0.117608
scenario3 rep098 wLogDate 0.343383
scenario3 rep098 Blnorm 0.201229
scenario3 rep099 RelTime 0.100739
scenario3 rep099 MD-Cat 0.115101
scenario3 rep099 wLogDate 0.109603
scenario3 rep099 Blnorm 0.135154
scenario3 rep100 RelTime 0.115349
scenario3 rep100 MD-Cat 0.0766807
scenario3 rep100 wLogDate 0.100441
scenario3 rep100 Blnorm 0.13646
scenario4 rep001 RelTime 0.0955164
scenario4 rep001 MD-Cat 0.0994307
scenario4 rep001 wLogDate 0.122159
scenario4 rep001 Blnorm 0.0813707
scenario4 rep002 RelTime 0.132009
scenario4 rep002 MD-Cat 0.117364
scenario4 rep002 wLogDate 0.167804
scenario4 rep002 Blnorm 0.145996
scenario4 rep003 RelTime 0.123072
scenario4 rep003 MD-Cat 0.0997793
scenario4 rep003 wLogDate 0.201147
scenario4 rep003 Blnorm 0.151005
scenario4 rep004 RelTime 0.10428
scenario4 rep004 MD-Cat 0.0842464
scenario4 rep004 wLogDate 0.192131
scenario4 rep004 Blnorm 0.115342
scenario4 rep005 RelTime 0.0917679
scenario4 rep005 MD-Cat 0.106869
scenario4 rep005 wLogDate 0.158961
scenario4 rep005 Blnorm 0.212976
scenario4 rep006 RelTime 0.119716
scenario4 rep006 MD-Cat 0.11821
scenario4 rep006 wLogDate 0.199203
scenario4 rep006 Blnorm 0.138547
scenario4 rep007 RelTime 0.155906
scenario4 rep007 MD-Cat 0.154929
scenario4 rep007 wLogDate 0.232462
scenario4 rep007 Blnorm 0.158037
scenario4 rep008 RelTime 0.115031
scenario4 rep008 MD-Cat 0.127204
scenario4 rep008 wLogDate 0.190878
scenario4 rep008 Blnorm 0.159976
scenario4 rep009 RelTime 0.108844
scenario4 rep009 MD-Cat 0.134744
scenario4 rep009 wLogDate 0.27419
scenario4 rep009 Blnorm 0.131413
scenario4 rep010 RelTime 0.117723
scenario4 rep010 MD-Cat 0.131826
scenario4 rep010 wLogDate 0.205469
scenario4 rep010 Blnorm 0.203931
scenario4 rep011 RelTime 0.113611
scenario4 rep011 MD-Cat 0.139596
scenario4 rep011 wLogDate 0.145524
scenario4 rep011 Blnorm 0.153688
scenario4 rep012 RelTime 0.122064
scenario4 rep012 MD-Cat 0.130462
scenario4 rep012 wLogDate 0.21118
scenario4 rep012 Blnorm 0.180476
scenario4 rep013 RelTime 0.124427
scenario4 rep013 MD-Cat 0.154245
scenario4 rep013 wLogDate 0.15612
scenario4 rep013 Blnorm 0.139732
scenario4 rep014 RelTime 0.135997
scenario4 rep014 MD-Cat 0.172136
scenario4 rep014 wLogDate 0.149882
scenario4 rep014 Blnorm 0.10637
scenario4 rep015 RelTime 0.100131
scenario4 rep015 MD-Cat 0.0959264
scenario4 rep015 wLogDate 0.125321
scenario4 rep015 Blnorm 0.128614
scenario4 rep016 RelTime 0.148539
scenario4 rep016 MD-Cat 0.132591
scenario4 rep016 wLogDate 0.21958
scenario4 rep016 Blnorm 0.173153
scenario4 rep017 RelTime 0.122603
scenario4 rep017 MD-Cat 0.128889
scenario4 rep017 wLogDate 0.172631
scenario4 rep017 Blnorm 0.153641
scenario4 rep018 RelTime 0.10357
scenario4 rep018 MD-Cat 0.21715
scenario4 rep018 wLogDate 0.218199
scenario4 rep018 Blnorm 0.156024
scenario4 rep019 RelTime 0.134151
scenario4 rep019 MD-Cat 0.132991
scenario4 rep019 wLogDate 0.157974
scenario4 rep019 Blnorm 0.140016
scenario4 rep020 RelTime 0.119854
scenario4 rep020 MD-Cat 0.128245
scenario4 rep020 wLogDate 0.145337
scenario4 rep020 Blnorm 0.155362
scenario4 rep021 RelTime 0.112461
scenario4 rep021 MD-Cat 0.0809793
scenario4 rep021 wLogDate 0.188887
scenario4 rep021 Blnorm 0.125718
scenario4 rep022 RelTime 0.100606
scenario4 rep022 MD-Cat 0.105147
scenario4 rep022 wLogDate 0.166966
scenario4 rep022 Blnorm 0.117073
scenario4 rep023 RelTime 0.105156
scenario4 rep023 MD-Cat 0.135669
scenario4 rep023 wLogDate 0.190579
scenario4 rep023 Blnorm 0.129808
scenario4 rep024 RelTime 0.10309
scenario4 rep024 MD-Cat 0.0855179
scenario4 rep024 wLogDate 0.165085
scenario4 rep024 Blnorm 0.14412
scenario4 rep025 RelTime 0.119058
scenario4 rep025 MD-Cat 0.107964
scenario4 rep025 wLogDate 0.179649
scenario4 rep025 Blnorm 0.189489
scenario4 rep026 RelTime 0.106242
scenario4 rep026 MD-Cat 0.117359
scenario4 rep026 wLogDate 0.182724
scenario4 rep026 Blnorm 0.154436
scenario4 rep027 RelTime 0.107102
scenario4 rep027 MD-Cat 0.137945
scenario4 rep027 wLogDate 0.167274
scenario4 rep027 Blnorm 0.179791
scenario4 rep028 RelTime 0.120547
scenario4 rep028 MD-Cat 0.083415
scenario4 rep028 wLogDate 0.109581
scenario4 rep028 Blnorm 0.103374
scenario4 rep029 RelTime 0.098915
scenario4 rep029 MD-Cat 0.0809736
scenario4 rep029 wLogDate 0.147304
scenario4 rep029 Blnorm 0.112677
scenario4 rep030 RelTime 0.103119
scenario4 rep030 MD-Cat 0.112082
scenario4 rep030 wLogDate 0.137167
scenario4 rep030 Blnorm 0.138027
scenario4 rep031 RelTime 0.0983393
scenario4 rep031 MD-Cat 0.107591
scenario4 rep031 wLogDate 0.191499
scenario4 rep031 Blnorm 0.20152
scenario4 rep032 RelTime 0.118959
scenario4 rep032 MD-Cat 0.128192
scenario4 rep032 wLogDate 0.261866
scenario4 rep032 Blnorm 0.151463
scenario4 rep033 RelTime 0.109273
scenario4 rep033 MD-Cat 0.155944
scenario4 rep033 wLogDate 0.183496
scenario4 rep033 Blnorm 0.120564
scenario4 rep034 RelTime 0.121851
scenario4 rep034 MD-Cat 0.152787
scenario4 rep034 wLogDate 0.386559
scenario4 rep034 Blnorm 0.179931
scenario4 rep035 RelTime 0.137844
scenario4 rep035 MD-Cat 0.108076
scenario4 rep035 wLogDate 0.139643
scenario4 rep035 Blnorm 0.133731
scenario4 rep036 RelTime 0.0984393
scenario4 rep036 MD-Cat 0.138846
scenario4 rep036 wLogDate 0.379387
scenario4 rep036 Blnorm 0.137474
scenario4 rep037 RelTime 0.0922957
scenario4 rep037 MD-Cat 0.0855529
scenario4 rep037 wLogDate 0.164182
scenario4 rep037 Blnorm 0.120091
scenario4 rep038 RelTime 0.105246
scenario4 rep038 MD-Cat 0.160901
scenario4 rep038 wLogDate 0.22253
scenario4 rep038 Blnorm 0.225442
scenario4 rep039 RelTime 0.113776
scenario4 rep039 MD-Cat 0.109293
scenario4 rep039 wLogDate 0.406163
scenario4 rep039 Blnorm 0.207069
scenario4 rep040 RelTime 0.103424
scenario4 rep040 MD-Cat 0.151311
scenario4 rep040 wLogDate 0.234915
scenario4 rep040 Blnorm 0.140821
scenario4 rep041 RelTime 0.159184
scenario4 rep041 MD-Cat 0.143176
scenario4 rep041 wLogDate 0.177391
scenario4 rep041 Blnorm 0.152044
scenario4 rep042 RelTime 0.0823714
scenario4 rep042 MD-Cat 0.0924707
scenario4 rep042 wLogDate 0.357596
scenario4 rep042 Blnorm 0.132639
scenario4 rep043 RelTime 0.115452
scenario4 rep043 MD-Cat 0.132933
scenario4 rep043 wLogDate 0.156395
scenario4 rep043 Blnorm 0.14609
scenario4 rep044 RelTime 0.131151
scenario4 rep044 MD-Cat 0.179941
scenario4 rep044 wLogDate 0.187556
scenario4 rep044 Blnorm 0.204014
scenario4 rep045 RelTime 0.0999221
scenario4 rep045 MD-Cat 0.110069
scenario4 rep045 wLogDate 0.298706
scenario4 rep045 Blnorm 0.145101
scenario4 rep046 RelTime 0.186188
scenario4 rep046 MD-Cat 0.07889
scenario4 rep046 wLogDate 0.0808793
scenario4 rep046 Blnorm 0.0945257
scenario4 rep047 RelTime 0.0968279
scenario4 rep047 MD-Cat 0.164508
scenario4 rep047 wLogDate 0.15001
scenario4 rep047 Blnorm 0.142619
