scenario method rep error
scenario1 MD-Cat rep069 0.900265941260279
scenario1 wLogDate rep070 1.1730084722909773
scenario1 MD-Cat rep070 0.6323804387784696
scenario1 wLogDate rep071 0.7361822036772337
scenario1 MD-Cat rep071 0.6343788468588617
scenario1 wLogDate rep072 1.0750975224909942
scenario1 MD-Cat rep072 0.7902292168821943
scenario1 wLogDate rep073 1.836519934584945
scenario1 MD-Cat rep073 0.7751494968794526
scenario1 wLogDate rep074 1.6920558342001726
scenario1 MD-Cat rep074 0.9499357368645256
scenario1 wLogDate rep075 1.3546586999694696
scenario1 MD-Cat rep075 0.7257370429842962
scenario1 wLogDate rep076 1.5656500812627194
scenario1 MD-Cat rep076 0.7187006536641004
scenario1 wLogDate rep077 1.152637194743291
scenario1 MD-Cat rep077 0.7552595849199344
scenario1 wLogDate rep078 1.988188587526954
scenario1 MD-Cat rep078 0.8288209531775639
scenario1 wLogDate rep079 1.234827918734646
scenario1 MD-Cat rep079 0.7425088784262174
scenario1 wLogDate rep080 1.2548249756434666
scenario1 MD-Cat rep080 0.7342244208277653
scenario1 wLogDate rep081 1.387025363044157
scenario1 MD-Cat rep081 0.8164018129926747
scenario1 wLogDate rep082 1.4803769205710193
scenario1 MD-Cat rep082 0.7701688581571559
scenario1 wLogDate rep083 1.8482519126761539
scenario1 MD-Cat rep083 0.6807062661905017
scenario1 wLogDate rep084 1.349615839344647
scenario1 MD-Cat rep084 0.6598306240453825
scenario1 wLogDate rep085 1.316805979992549
scenario1 MD-Cat rep085 0.812029087024762
scenario1 wLogDate rep086 1.4998866713305368
scenario1 MD-Cat rep086 0.6013248157992798
scenario1 wLogDate rep087 1.3889896927856547
scenario1 MD-Cat rep087 0.7686635320931188
scenario1 wLogDate rep088 0.8932252956853913
scenario1 MD-Cat rep088 0.6583719235369808
scenario1 wLogDate rep089 0.7124779659277367
scenario1 MD-Cat rep089 0.7335612028426236
scenario1 wLogDate rep090 1.0819356073894617
scenario1 MD-Cat rep090 0.6171616072503356
scenario1 wLogDate rep091 1.999300518502829
scenario1 MD-Cat rep091 0.7713220649507184
scenario1 wLogDate rep092 1.5147146466340558
scenario1 MD-Cat rep092 0.662671469393683
