clockModel rep method tmrca
scenario1 rep041 BEAST_strict -40.34556978893582
scenario1 rep042 BEAST_rcla -29.54076364138527
scenario1 rep042 BEAST_lnorm -54.41439907729108
scenario1 rep042 BEAST_strict -24.539676664179353
scenario1 rep043 BEAST_rcla -32.99152193447844
scenario1 rep043 BEAST_lnorm -63.76318306258912
scenario1 rep043 BEAST_strict -22.3838953879019
scenario1 rep044 BEAST_rcla -54.44133003983842
scenario1 rep044 BEAST_lnorm -79.48617975127837
scenario1 rep044 BEAST_strict -27.331877400327727
scenario1 rep045 BEAST_rcla -47.64255372347722
scenario1 rep045 BEAST_lnorm -77.24963027944003
scenario1 rep045 BEAST_strict -46.804493429738415
scenario1 rep046 BEAST_rcla -37.117147917815856
scenario1 rep046 BEAST_lnorm -67.49514794328644
scenario1 rep046 BEAST_strict -1.414720537634821
scenario1 rep047 BEAST_rcla -29.962375653859965
scenario1 rep047 BEAST_lnorm -78.33111169263753
scenario1 rep047 BEAST_strict -51.54461344686325
scenario1 rep048 BEAST_rcla -41.94138333204688
scenario1 rep048 BEAST_lnorm -64.48410402460956
scenario1 rep048 BEAST_strict -45.12902823280709
scenario1 rep049 BEAST_rcla -50.94061441113246
scenario1 rep049 BEAST_lnorm -66.54135066872206
scenario1 rep049 BEAST_strict -48.54057206032755
scenario1 rep050 BEAST_rcla -31.536269834588495
scenario1 rep050 BEAST_lnorm -71.916766571196
scenario1 rep050 BEAST_strict -36.78400837417496
scenario1 rep051 BEAST_rcla -49.74415893359162
scenario1 rep051 BEAST_lnorm -84.92298446703325
scenario1 rep051 BEAST_strict -39.62168390759189
scenario1 rep052 BEAST_rcla -23.216817727608486
scenario1 rep052 BEAST_lnorm -52.67673208161534
scenario1 rep052 BEAST_strict -26.609881022471853
scenario1 rep053 BEAST_rcla -34.180782997572294
scenario1 rep053 BEAST_lnorm -84.67157482457097
scenario1 rep053 BEAST_strict -38.05897825421118
scenario1 rep054 BEAST_rcla -65.95454221592396
scenario1 rep054 BEAST_lnorm -92.31331398202283
scenario1 rep054 BEAST_strict -24.22532347398075
scenario1 rep055 BEAST_rcla -38.731387104165435
scenario1 rep055 BEAST_lnorm -117.59164084579044
scenario1 rep055 BEAST_strict -225.50519211383948
scenario1 rep056 BEAST_rcla -20.381084488098537
scenario1 rep056 BEAST_lnorm -50.17913748280918
scenario1 rep056 BEAST_strict -16.46213486335222
scenario1 rep057 BEAST_rcla -42.99592356362919
scenario1 rep057 BEAST_lnorm -60.882780563722775
scenario1 rep057 BEAST_strict -29.65754422965645
scenario1 rep058 BEAST_rcla -42.215841831340896
scenario1 rep058 BEAST_lnorm -61.802885013559205
scenario1 rep058 BEAST_strict -65.55876176102015
scenario1 rep059 BEAST_rcla -27.107410687852564
scenario1 rep059 BEAST_lnorm -59.01694237040192
scenario1 rep059 BEAST_strict -32.01386292256703
scenario1 rep060 BEAST_rcla -49.56762900675861
scenario1 rep060 BEAST_lnorm -76.7910431985502
scenario1 rep060 BEAST_strict -42.33890157784563
scenario1 rep061 BEAST_rcla -54.88588397176477
scenario1 rep061 BEAST_lnorm -61.83579133639955
scenario1 rep061 BEAST_strict -32.39382173942411
scenario1 rep062 BEAST_rcla -45.30266102165865
scenario1 rep062 BEAST_lnorm -89.02701369173519
scenario1 rep062 BEAST_strict -37.096506195552365
scenario1 rep063 BEAST_rcla -15.63506881762396
scenario1 rep063 BEAST_lnorm -93.01174104667206
scenario1 rep063 BEAST_strict -64.0955372110424
scenario1 rep064 BEAST_rcla -30.010695587190185
scenario1 rep064 BEAST_lnorm -60.42268028091763
scenario1 rep064 BEAST_strict -27.497043729212265
scenario1 rep065 BEAST_rcla -19.780475016242235
scenario1 rep065 BEAST_lnorm -66.98547566076903
scenario1 rep065 BEAST_strict -24.47340765547716
