clockModel rep method tmrca
scenario2 rep090 emd 3.2374
scenario2 rep091 emd 1.888
scenario2 rep092 emd -11.287
scenario2 rep093 emd 7.8
scenario2 rep094 emd 1.2408
scenario2 rep095 emd -132.8638
scenario2 rep096 emd 1.7431
scenario2 rep097 emd 6.6963
scenario2 rep098 emd 7.4136
scenario2 rep099 emd -3.2396
scenario2 rep100 emd 6.2852
scenario3 rep001 emd -13.9748
scenario3 rep002 emd -14.3811
scenario3 rep003 emd 7.9513
scenario3 rep004 emd -11.5694
scenario3 rep005 emd 0.3658
scenario3 rep006 emd 4.1293
scenario3 rep007 emd -31.863
scenario3 rep008 emd -5.0518
scenario3 rep009 emd -2.4014
scenario3 rep010 emd 4.3198
scenario3 rep011 emd -6.7667
scenario3 rep012 emd -13.4068
scenario3 rep013 emd 5.1872
scenario3 rep014 emd -1.0312
scenario3 rep015 emd 3.3729
scenario3 rep016 emd 9.4196
scenario3 rep017 emd 0.4443
scenario3 rep018 emd 2.2437
scenario3 rep019 emd -0.439
scenario3 rep020 emd -16.6369
scenario3 rep021 emd 6.6319
scenario3 rep022 emd 4.0162
scenario3 rep023 emd 2.1762
scenario3 rep024 emd 7.638
scenario3 rep025 emd 1.0881
scenario3 rep026 emd 0.1049
scenario3 rep027 emd 3.5302
scenario3 rep028 emd 5.4816
scenario3 rep029 emd -16.5121
scenario3 rep030 emd 6.5803
scenario3 rep031 emd -7.0998
scenario3 rep032 emd 1.2373
scenario3 rep033 emd 2.0903
scenario3 rep034 emd 0.9716
scenario3 rep035 emd 0.8703
scenario3 rep036 emd -12.8243
scenario3 rep037 emd 3.5838
scenario3 rep038 emd 6.7165
scenario3 rep039 emd -5.694
scenario3 rep040 emd -0.4722
scenario3 rep041 emd 6.5945
scenario3 rep042 emd 3.4062
scenario3 rep043 emd 0.337
scenario3 rep044 emd 2.5166
scenario3 rep045 emd 1.4731
scenario3 rep046 emd 2.0991
scenario3 rep047 emd 3.7365
scenario3 rep048 emd 7.4917
scenario3 rep049 emd -2.1792
scenario3 rep050 emd 3.1209
scenario3 rep051 emd 10.1539
scenario3 rep052 emd 2.1935
scenario3 rep053 emd 1.5088
scenario3 rep054 emd -1.8323
scenario3 rep055 emd 1.4827
scenario3 rep056 emd -1.5742
scenario3 rep057 emd 4.238
scenario3 rep058 emd -2.229
scenario3 rep059 emd -3.649
scenario3 rep060 emd -6.0322
scenario3 rep061 emd -14.4257
scenario3 rep062 emd 10.0544
scenario3 rep063 emd -2.6674
scenario3 rep064 emd 1.3969
scenario3 rep065 emd -7.2775
scenario3 rep066 emd 1.7156
scenario3 rep067 emd 3.3437
scenario3 rep068 emd 2.3434
scenario3 rep069 emd -1.2976
scenario3 rep070 emd 5.3857
scenario3 rep071 emd 8.6364
scenario3 rep072 emd 5.2786
scenario3 rep073 emd -0.1051
scenario3 rep074 emd -14.1326
scenario3 rep075 emd 3.1623
scenario3 rep076 emd 0.2508
scenario3 rep077 emd 4.5541
scenario3 rep078 emd -4.347
scenario3 rep079 emd 4.654
scenario3 rep080 emd 1.9668
scenario3 rep081 emd 8.5816
scenario3 rep082 emd 11.3586
scenario3 rep083 emd 2.6719
scenario3 rep084 emd 4.0807
scenario3 rep085 emd -2.7988
scenario3 rep086 emd -0.9014
scenario3 rep087 emd 6.0005
scenario3 rep088 emd 7.6861
scenario3 rep089 emd -17.0139
scenario3 rep090 emd 10.1381
scenario3 rep091 emd -0.5186
scenario3 rep092 emd -1.8424
scenario3 rep093 emd 2.5444
scenario3 rep094 emd -4.8997
scenario3 rep095 emd 6.9279
scenario3 rep096 emd 4.11
scenario3 rep097 emd -7.0026
scenario3 rep098 emd -2.9373
scenario3 rep099 emd 2.5658
scenario3 rep100 emd 2.2291
scenario4 rep001 emd 0.8902
scenario4 rep002 emd -3.0864
scenario4 rep003 emd 3.3507
scenario4 rep004 emd -9.8093
scenario4 rep005 emd -1.8153
scenario4 rep006 emd 11.7478
scenario4 rep007 emd -9.0217
scenario4 rep008 emd 0.1299
scenario4 rep009 emd -1.2272
scenario4 rep010 emd 2.521
scenario4 rep011 emd 2.691
scenario4 rep012 emd -4.8623
scenario4 rep013 emd -9.2141
scenario4 rep014 emd 7.018
scenario4 rep015 emd -1.1018
scenario4 rep016 emd 1.1261
scenario4 rep017 emd -2.4206
scenario4 rep018 emd -37.7881
scenario4 rep019 emd 7.3299
scenario4 rep020 emd -7.99
scenario4 rep021 emd 6.2493
scenario4 rep022 emd 3.664
scenario4 rep023 emd 6.0023
scenario4 rep024 emd -1.8855
scenario4 rep025 emd -14.2962
scenario4 rep026 emd -0.7682
scenario4 rep027 emd 4.1602
scenario4 rep028 emd -9.2606
scenario4 rep029 emd 7.2273
scenario4 rep030 emd -2.4485
scenario4 rep031 emd -0.864
scenario4 rep032 emd 6.7605
scenario4 rep033 emd 1.3824
scenario4 rep034 emd -3.3291
scenario4 rep035 emd -13.4325
scenario4 rep036 emd -7.3968
scenario4 rep037 emd 4.0112
scenario4 rep038 emd -19.3866
scenario4 rep039 emd -2.0298
scenario4 rep040 emd 2.9778
scenario4 rep041 emd 7.5774
scenario4 rep042 emd 0.0106
scenario4 rep043 emd -17.7886
scenario4 rep044 emd 8.079
scenario4 rep045 emd -18.8926
scenario4 rep046 emd -0.0869
scenario4 rep047 emd 0.613
scenario4 rep048 emd -10.9897
scenario4 rep049 emd 8.3673
scenario4 rep050 emd 4.1487
scenario4 rep051 emd 2.4112
scenario4 rep052 emd 6.5033
scenario4 rep053 emd -3.942
scenario4 rep054 emd 9.9246
scenario4 rep055 emd -4.4512
scenario4 rep056 emd 2.6267
scenario4 rep057 emd 0.0437
scenario4 rep058 emd 0.6496
scenario4 rep059 emd -2.7464
scenario4 rep060 emd -10.2164
scenario4 rep061 emd -7.7374
scenario4 rep062 emd 9.7498
scenario4 rep063 emd 1.7469
scenario4 rep064 emd -2.7714
scenario4 rep065 emd -5.1789
scenario4 rep066 emd 3.7992
scenario4 rep067 emd -1.5044
scenario4 rep068 emd -9.4623
scenario4 rep069 emd 3.7832
scenario4 rep070 emd -2.8967
scenario4 rep071 emd 2.1218
scenario4 rep072 emd -18.301
scenario4 rep073 emd 6.4751
scenario4 rep074 emd -4.2036
scenario4 rep075 emd -2.1008
scenario4 rep076 emd -2.0669
scenario4 rep077 emd -1.4295
scenario4 rep078 emd 0.0717
scenario4 rep079 emd 7.4181
scenario4 rep080 emd 7.1304
scenario4 rep081 emd -40.8489
scenario4 rep082 emd 1.187
scenario4 rep083 emd 1.5896
scenario4 rep084 emd 1.495
scenario4 rep085 emd -0.8789
scenario4 rep086 emd 5.941
