scenario method rep error
scenario2 BEAST_lnorm rep039 1.20114
scenario2 BEAST_lnorm rep040 1.22518
scenario2 BEAST_lnorm rep041 1.04778
scenario2 BEAST_lnorm rep042 1.11585
scenario2 BEAST_lnorm rep043 1.26103
scenario2 BEAST_lnorm rep044 1.09152
scenario2 BEAST_lnorm rep045 1.13858
scenario2 BEAST_lnorm rep046 1.13053
scenario2 BEAST_lnorm rep047 1.16784
scenario2 BEAST_lnorm rep048 1.07874
scenario2 BEAST_lnorm rep049 1.10906
scenario2 BEAST_lnorm rep050 0.99622
scenario2 BEAST_lnorm rep051 1.00795
scenario2 BEAST_lnorm rep052 1.14636
scenario2 BEAST_lnorm rep053 1.16531
scenario2 BEAST_lnorm rep054 1.11417
scenario2 BEAST_lnorm rep055 1.15223
scenario2 BEAST_lnorm rep056 1.04079
scenario2 BEAST_lnorm rep057 1.0571
scenario2 BEAST_lnorm rep058 1.11984
scenario2 BEAST_lnorm rep059 1.05921
scenario2 BEAST_lnorm rep060 1.05916
scenario2 BEAST_lnorm rep061 1.13162
scenario2 BEAST_lnorm rep062 1.14938
scenario2 BEAST_lnorm rep063 1.09306
scenario2 BEAST_lnorm rep064 1.25733
scenario2 BEAST_lnorm rep065 1.08503
scenario2 BEAST_lnorm rep066 1.24462
scenario2 BEAST_lnorm rep067 1.00088
scenario2 BEAST_lnorm rep068 1.08957
scenario2 BEAST_lnorm rep069 1.17476
scenario2 BEAST_lnorm rep070 1.11542
scenario2 BEAST_lnorm rep071 1.12722
scenario2 BEAST_lnorm rep072 1.09437
scenario2 BEAST_lnorm rep073 1.06415
scenario2 BEAST_lnorm rep074 1.16332
scenario2 BEAST_lnorm rep075 1.03473
scenario2 BEAST_lnorm rep076 1.10449
scenario2 BEAST_lnorm rep077 1.09243
scenario2 BEAST_lnorm rep078 1.08786
scenario2 BEAST_lnorm rep079 1.04406
scenario2 BEAST_lnorm rep080 1.15508
scenario2 BEAST_lnorm rep081 1.13483
scenario2 BEAST_lnorm rep082 1.08214
scenario2 BEAST_lnorm rep083 1.0855
scenario2 BEAST_lnorm rep084 1.06562
scenario2 BEAST_lnorm rep085 1.10872
scenario2 BEAST_lnorm rep086 1.07009
scenario2 BEAST_lnorm rep087 1.05575
scenario2 BEAST_lnorm rep088 0.958825
scenario2 BEAST_lnorm rep089 1.1215
scenario2 BEAST_lnorm rep090 1.16992
scenario2 BEAST_lnorm rep091 1.11127
scenario2 BEAST_lnorm rep092 0.975545
scenario2 BEAST_lnorm rep093 1.14885
scenario2 BEAST_lnorm rep094 0.976751
scenario2 BEAST_lnorm rep095 0.989052
scenario2 BEAST_lnorm rep096 1.08764
scenario2 BEAST_lnorm rep097 1.3084
scenario2 BEAST_lnorm rep098 0.965639
scenario2 BEAST_lnorm rep099 1.06095
scenario2 BEAST_lnorm rep100 1.1175
scenario3 BEAST_lnorm rep001 1.8931
scenario3 BEAST_lnorm rep002 1.74464
scenario3 BEAST_lnorm rep003 1.83427
scenario3 BEAST_lnorm rep004 1.7511
scenario3 BEAST_lnorm rep005 1.66897
scenario3 BEAST_lnorm rep006 1.82423
scenario3 BEAST_lnorm rep007 1.69336
scenario3 BEAST_lnorm rep008 1.68639
scenario3 BEAST_lnorm rep009 1.78411
scenario3 BEAST_lnorm rep010 1.83224
scenario3 BEAST_lnorm rep011 1.71899
scenario3 BEAST_lnorm rep012 1.7668
scenario3 BEAST_lnorm rep013 1.78713
scenario3 BEAST_lnorm rep014 1.84822
scenario3 BEAST_lnorm rep015 1.64851
scenario3 BEAST_lnorm rep016 1.80473
scenario3 BEAST_lnorm rep017 1.70528
scenario3 BEAST_lnorm rep018 1.82847
scenario3 BEAST_lnorm rep019 1.69455
scenario3 BEAST_lnorm rep020 1.86193
scenario3 BEAST_lnorm rep021 1.82878
scenario3 BEAST_lnorm rep022 1.68211
scenario3 BEAST_lnorm rep023 1.74819
scenario3 BEAST_lnorm rep024 1.89161
scenario3 BEAST_lnorm rep025 1.73771
scenario3 BEAST_lnorm rep026 1.83388
scenario3 BEAST_lnorm rep027 1.70743
scenario3 BEAST_lnorm rep028 1.89934
scenario3 BEAST_lnorm rep029 1.86858
scenario3 BEAST_lnorm rep030 1.76412
scenario3 BEAST_lnorm rep031 1.83464
scenario3 BEAST_lnorm rep032 1.76221
scenario3 BEAST_lnorm rep033 1.82354
scenario3 BEAST_lnorm rep034 1.77
scenario3 BEAST_lnorm rep035 1.74061
scenario3 BEAST_lnorm rep036 1.6074
scenario3 BEAST_lnorm rep037 1.91691
scenario3 BEAST_lnorm rep038 1.81125
scenario3 BEAST_lnorm rep039 1.71392
scenario3 BEAST_lnorm rep040 1.87525
scenario3 BEAST_lnorm rep041 1.79615
scenario3 BEAST_lnorm rep042 1.77632
scenario3 BEAST_lnorm rep043 1.96011
scenario3 BEAST_lnorm rep044 1.77954
scenario3 BEAST_lnorm rep045 1.81552
scenario3 BEAST_lnorm rep046 1.69541
scenario3 BEAST_lnorm rep047 1.7743
scenario3 BEAST_lnorm rep048 1.77467
scenario3 BEAST_lnorm rep049 1.6601
scenario3 BEAST_lnorm rep050 1.7024
scenario3 BEAST_lnorm rep051 1.7057
scenario3 BEAST_lnorm rep052 1.75065
scenario3 BEAST_lnorm rep053 1.59365
scenario3 BEAST_lnorm rep054 1.71698
scenario3 BEAST_lnorm rep055 1.86659
scenario3 BEAST_lnorm rep056 1.6818
scenario3 BEAST_lnorm rep057 1.84067
scenario3 BEAST_lnorm rep058 1.82873
scenario3 BEAST_lnorm rep059 1.75014
scenario3 BEAST_lnorm rep060 1.67146
scenario3 BEAST_lnorm rep061 1.81621
scenario3 BEAST_lnorm rep062 1.70723
scenario3 BEAST_lnorm rep063 1.77369
scenario3 BEAST_lnorm rep064 1.85051
scenario3 BEAST_lnorm rep065 1.64019
scenario3 BEAST_lnorm rep066 1.75511
scenario3 BEAST_lnorm rep067 1.81293
scenario3 BEAST_lnorm rep068 1.7054
scenario3 BEAST_lnorm rep069 1.78925
scenario3 BEAST_lnorm rep070 1.88079
scenario3 BEAST_lnorm rep071 1.82066
scenario3 BEAST_lnorm rep072 1.91469
scenario3 BEAST_lnorm rep073 1.84058
scenario3 BEAST_lnorm rep074 1.74089
scenario3 BEAST_lnorm rep075 1.73498
scenario3 BEAST_lnorm rep076 1.84752
scenario3 BEAST_lnorm rep077 1.77842
scenario3 BEAST_lnorm rep078 1.84259
scenario3 BEAST_lnorm rep079 1.76794
scenario3 BEAST_lnorm rep080 1.81588
scenario3 BEAST_lnorm rep081 1.72849
scenario3 BEAST_lnorm rep082 1.71311
scenario3 BEAST_lnorm rep083 1.75955
scenario3 BEAST_lnorm rep084 1.70101
scenario3 BEAST_lnorm rep085 1.63999
scenario3 BEAST_lnorm rep086 1.75537
scenario3 BEAST_lnorm rep087 1.78461
scenario3 BEAST_lnorm rep088 1.74007
scenario3 BEAST_lnorm rep089 1.74397
scenario3 BEAST_lnorm rep090 1.85195
scenario3 BEAST_lnorm rep091 1.73281
scenario3 BEAST_lnorm rep092 1.71554
scenario3 BEAST_lnorm rep093 1.73242
scenario3 BEAST_lnorm rep094 1.71105
scenario3 BEAST_lnorm rep095 1.6802
scenario3 BEAST_lnorm rep096 1.87792
scenario3 BEAST_lnorm rep097 1.85543
scenario3 BEAST_lnorm rep098 1.65999
scenario3 BEAST_lnorm rep099 1.81001
scenario3 BEAST_lnorm rep100 1.79307
scenario4 BEAST_lnorm rep001 1.83515
scenario4 BEAST_lnorm rep002 1.72295
scenario4 BEAST_lnorm rep003 1.80714
scenario4 BEAST_lnorm rep004 1.72112
scenario4 BEAST_lnorm rep005 1.70776
scenario4 BEAST_lnorm rep006 1.87511
scenario4 BEAST_lnorm rep007 1.75289
scenario4 BEAST_lnorm rep008 1.74847
scenario4 BEAST_lnorm rep009 1.8102
scenario4 BEAST_lnorm rep010 1.97246
scenario4 BEAST_lnorm rep011 1.83035
scenario4 BEAST_lnorm rep012 1.69797
scenario4 BEAST_lnorm rep013 1.78668
scenario4 BEAST_lnorm rep014 1.81312
scenario4 BEAST_lnorm rep015 1.68393
scenario4 BEAST_lnorm rep016 1.87544
scenario4 BEAST_lnorm rep017 1.60395
scenario4 BEAST_lnorm rep018 1.68264
scenario4 BEAST_lnorm rep019 1.82419
scenario4 BEAST_lnorm rep020 1.75693
scenario4 BEAST_lnorm rep021 1.87774
scenario4 BEAST_lnorm rep022 1.759
scenario4 BEAST_lnorm rep023 1.7266
scenario4 BEAST_lnorm rep024 1.87059
scenario4 BEAST_lnorm rep025 1.76908
scenario4 BEAST_lnorm rep026 1.5932
scenario4 BEAST_lnorm rep027 1.74863
scenario4 BEAST_lnorm rep028 1.68481
scenario4 BEAST_lnorm rep029 1.88829
scenario4 BEAST_lnorm rep030 1.75916
scenario4 BEAST_lnorm rep031 1.72186
scenario4 BEAST_lnorm rep032 1.64332
scenario4 BEAST_lnorm rep033 1.69901
scenario4 BEAST_lnorm rep034 1.81829
scenario4 BEAST_lnorm rep035 1.57778
scenario4 BEAST_lnorm rep036 1.61295
scenario4 BEAST_lnorm rep037 1.87567
scenario4 BEAST_lnorm rep038 1.73638
scenario4 BEAST_lnorm rep039 1.65887
scenario4 BEAST_lnorm rep040 1.88366
scenario4 BEAST_lnorm rep041 1.69918
scenario4 BEAST_lnorm rep042 1.7433
scenario4 BEAST_lnorm rep043 1.86337
scenario4 BEAST_lnorm rep044 1.80266
scenario4 BEAST_lnorm rep045 1.76613
scenario4 BEAST_lnorm rep046 1.63031
scenario4 BEAST_lnorm rep047 1.79379
scenario4 BEAST_lnorm rep048 1.74228
scenario4 BEAST_lnorm rep049 1.7907
scenario4 BEAST_lnorm rep050 1.81642
scenario4 BEAST_lnorm rep051 1.79786
scenario4 BEAST_lnorm rep052 1.73691
scenario4 BEAST_lnorm rep053 1.73546
scenario4 BEAST_lnorm rep054 1.83594
scenario4 BEAST_lnorm rep055 1.75654
scenario4 BEAST_lnorm rep056 1.74605
scenario4 BEAST_lnorm rep057 1.78836
scenario4 BEAST_lnorm rep058 1.81071
scenario4 BEAST_lnorm rep059 1.698
scenario4 BEAST_lnorm rep060 1.70793
scenario4 BEAST_lnorm rep061 1.69475
scenario4 BEAST_lnorm rep062 1.76781
scenario4 BEAST_lnorm rep063 1.75669
scenario4 BEAST_lnorm rep064 1.85545
scenario4 BEAST_lnorm rep065 1.63614
scenario4 BEAST_lnorm rep066 1.72334
scenario4 BEAST_lnorm rep067 1.819
scenario4 BEAST_lnorm rep068 1.59461
scenario4 BEAST_lnorm rep069 1.82853
scenario4 BEAST_lnorm rep070 1.78637
scenario4 BEAST_lnorm rep071 1.68243
scenario4 BEAST_lnorm rep072 1.84474
scenario4 BEAST_lnorm rep073 1.86322
scenario4 BEAST_lnorm rep074 1.68723
scenario4 BEAST_lnorm rep075 1.7098
scenario4 BEAST_lnorm rep076 1.82473
scenario4 BEAST_lnorm rep077 1.87935
scenario4 BEAST_lnorm rep078 1.77216
scenario4 BEAST_lnorm rep079 1.7155
scenario4 BEAST_lnorm rep080 1.81989
scenario4 BEAST_lnorm rep081 1.67228
scenario4 BEAST_lnorm rep082 1.74353
scenario4 BEAST_lnorm rep083 1.76821
scenario4 BEAST_lnorm rep084 1.7005
scenario4 BEAST_lnorm rep085 1.9104
scenario4 BEAST_lnorm rep086 1.72866
scenario4 BEAST_lnorm rep087 1.76759
scenario4 BEAST_lnorm rep088 1.69384
scenario4 BEAST_lnorm rep089 1.64046
scenario4 BEAST_lnorm rep090 1.77427
scenario4 BEAST_lnorm rep091 1.8083
scenario4 BEAST_lnorm rep092 1.76311
scenario4 BEAST_lnorm rep093 1.77628
scenario4 BEAST_lnorm rep094 1.76856
scenario4 BEAST_lnorm rep095 1.64441
scenario4 BEAST_lnorm rep096 1.89933
scenario4 BEAST_lnorm rep097 1.94148
scenario4 BEAST_lnorm rep098 1.73988
scenario4 BEAST_lnorm rep099 1.69363
scenario4 BEAST_lnorm rep100 1.75463
scenario5 BEAST_lnorm rep001 1.78987
scenario5 BEAST_lnorm rep002 1.85934
scenario5 BEAST_lnorm rep003 1.76613
scenario5 BEAST_lnorm rep004 1.8039
scenario5 BEAST_lnorm rep005 1.72445
scenario5 BEAST_lnorm rep006 1.82102
scenario5 BEAST_lnorm rep007 1.65694
scenario5 BEAST_lnorm rep008 1.86827
scenario5 BEAST_lnorm rep009 1.83234
scenario5 BEAST_lnorm rep010 1.70718
scenario5 BEAST_lnorm rep011 1.66264
scenario5 BEAST_lnorm rep012 1.74859
scenario5 BEAST_lnorm rep013 1.70963
scenario5 BEAST_lnorm rep014 1.83967
scenario5 BEAST_lnorm rep015 1.79049
scenario5 BEAST_lnorm rep016 1.91862
scenario5 BEAST_lnorm rep017 1.8593
scenario5 BEAST_lnorm rep018 1.70088
scenario5 BEAST_lnorm rep019 1.70948
scenario5 BEAST_lnorm rep020 1.80247
scenario5 BEAST_lnorm rep021 1.77815
scenario5 BEAST_lnorm rep022 1.78059
scenario5 BEAST_lnorm rep023 1.66528
scenario5 BEAST_lnorm rep024 1.95261
scenario5 BEAST_lnorm rep025 1.68002
scenario5 BEAST_lnorm rep026 1.68874
scenario5 BEAST_lnorm rep027 1.70421
scenario5 BEAST_lnorm rep028 1.80003
scenario5 BEAST_lnorm rep029 1.80373
scenario5 BEAST_lnorm rep030 1.76206
scenario5 BEAST_lnorm rep031 1.67702
scenario5 BEAST_lnorm rep032 1.61335
scenario5 BEAST_lnorm rep033 1.77143
scenario5 BEAST_lnorm rep034 1.68015
scenario5 BEAST_lnorm rep035 1.77364
scenario5 BEAST_lnorm rep036 1.69785
scenario5 BEAST_lnorm rep037 1.76956
scenario5 BEAST_lnorm rep038 1.79052
scenario5 BEAST_lnorm rep039 1.81521
scenario5 BEAST_lnorm rep040 1.88157
